EBELN,EBELP,ETENR,SCH_QTY,SCHEDULED_DATE
45000000121,00003,0010,51,2025-06-21
45000000121,00004,0010,24,2025-05-22
45000000121,00004,0020,14,2025-05-27
45000000122,00001,0010,52,2025-01-31
45000000122,00002,0010,49,2025-01-07
45000000123,00001,0010,22,2025-05-08
45000000123,00001,0020,32,2025-05-09
45000000123,00002,0010,17,2025-04-16
45000000123,00002,0020,29,2025-04-21
45000000124,00001,0010,54,2025-06-02
45000000124,00002,0010,43,2025-06-02
45000000124,00003,0010,57,2025-06-30
45000000125,00001,0010,50,2025-03-27
45000000125,00002,0010,44,2025-05-08
45000000126,00001,0010,64,2025-05-10
45000000126,00002,0010,49,2025-04-29
45000000126,00003,0010,55,2025-06-10
45000000127,00001,0010,42,2025-01-18
45000000127,00002,0010,31,2025-02-04
45000000127,00002,0020,19,2025-02-15
45000000127,00003,0010,23,2025-03-04
45000000127,00003,0020,24,2025-03-18
45000000128,00001,0010,58,2025-07-20
45000000129,00001,0010,43,2025-05-01
45000000130,00001,0010,19,2025-05-07
45000000130,00001,0020,33,2025-05-16
45000000130,00002,0010,47,2025-05-03
45000000131,00001,0010,48,2025-05-10
45000000132,00001,0010,55,2025-05-23
45000000132,00002,0010,38,2025-05-01
45000000133,00001,0010,57,2025-05-06
45000000134,00001,0010,55,2025-04-25
45000000134,00002,0010,57,2025-03-24
45000000134,00003,0010,47,2025-03-22
45000000135,00001,0010,60,2025-01-22
45000000135,00002,0010,53,2025-01-25
45000000135,00003,0010,37,2025-01-19
45000000135,00003,0020,22,2025-01-23
45000000136,00001,0010,47,2025-02-23
45000000136,00002,0010,56,2025-04-11
45000000137,00001,0010,26,2025-03-26
45000000137,00001,0020,20,2025-04-01
45000000137,00002,0010,54,2025-04-10
45000000137,00003,0010,49,2025-05-09
45000000137,00004,0010,36,2025-04-25
45000000137,00005,0010,58,2025-03-24
45000000138,00001,0010,56,2025-04-18
45000000138,00002,0010,59,2025-05-11
45000000138,00003,0010,41,2025-06-02
45000000139,00001,0010,64,2025-06-30
45000000139,00002,0010,50,2025-06-01
45000000139,00003,0010,53,2025-07-01
45000000140,00001,0010,40,2025-04-11
45000000140,00002,0010,25,2025-05-03
45000000140,00002,0020,27,2025-05-04
45000000140,00003,0010,59,2025-04-17
45000000141,00001,0010,36,2025-07-02
45000000142,00001,0010,24,2025-06-21
45000000142,00001,0020,29,2025-07-04
45000000142,00002,0010,53,2025-07-09
45000000143,00001,0010,51,2025-08-20
45000000144,00001,0010,35,2025-03-05
45000000144,00001,0020,24,2025-03-12
45000000145,00001,0010,48,2025-06-19
45000000145,00002,0010,30,2025-05-29
45000000145,00002,0020,18,2025-06-01
45000000146,00001,0010,21,2025-06-12
45000000146,00001,0020,29,2025-06-23
45000000146,00002,0010,28,2025-05-30
45000000146,00002,0020,13,2025-06-10
45000000147,00001,0010,42,2025-06-25
45000000147,00002,0010,64,2025-06-13
45000000147,00003,0010,49,2025-05-31
45000000148,00001,0010,50,2025-02-21
45000000148,00002,0010,37,2025-02-22
45000000149,00001,0010,22,2025-06-23
45000000149,00001,0020,34,2025-07-03
45000000149,00002,0010,18,2025-05-30
45000000149,00002,0020,37,2025-06-10
45000000149,00003,0010,37,2025-05-17
45000000150,00001,0010,30,2025-07-11
45000000150,00001,0020,14,2025-07-14
45000000150,00002,0010,48,2025-07-28
45000000150,00003,0010,53,2025-07-03
45000000150,00004,0010,49,2025-06-25
45000000151,00001,0010,53,2025-03-26
45000000151,00002,0010,24,2025-04-17
45000000151,00002,0020,21,2025-04-30
45000000152,00001,0010,38,2025-03-17
45000000152,00002,0010,28,2025-03-20
45000000152,00002,0020,24,2025-03-29
45000000152,00003,0010,46,2025-02-06
45000000153,00001,0010,59,2025-02-28
45000000153,00002,0010,24,2025-03-11
45000000153,00002,0020,43,2025-03-26
45000000153,00003,0010,62,2025-02-21
45000000154,00001,0010,40,2025-01-10
45000000154,00002,0010,44,2025-02-19
45000000155,00001,0010,52,2025-07-05
45000000155,00002,0010,37,2025-07-30
45000000155,00003,0010,26,2025-07-31
45000000155,00003,0020,15,2025-08-07
45000000156,00001,0010,55,2025-05-05
45000000156,00002,0010,56,2025-04-29
45000000156,00003,0010,49,2025-05-19
45000000156,00004,0010,49,2025-05-31
45000000157,00001,0010,54,2025-07-09
45000000158,00001,0010,37,2025-04-12
45000000158,00001,0020,21,2025-04-18
45000000158,00002,0010,39,2025-04-02
45000000159,00001,0010,32,2025-07-02
45000000159,00002,0010,47,2025-06-27
45000000160,00001,0010,20,2025-03-03
45000000160,00001,0020,42,2025-03-09
45000000161,00001,0010,54,2025-07-12
45000000161,00002,0010,49,2025-06-04
45000000162,00001,0010,40,2025-03-23
45000000162,00002,0010,46,2025-04-12
45000000163,00001,0010,51,2025-02-28
45000000163,00002,0010,52,2025-03-05
45000000163,00003,0010,54,2025-03-14
45000000164,00001,0010,53,2025-06-15
45000000164,00002,0010,31,2025-04-24
45000000164,00002,0020,17,2025-05-01
45000000164,00003,0010,47,2025-04-30
45000000165,00001,0010,50,2025-01-30
45000000165,00002,0010,49,2025-01-31
45000000166,00001,0010,55,2025-07-20
45000000167,00001,0010,26,2025-02-23
45000000167,00001,0020,14,2025-03-03
45000000167,00002,0010,50,2025-01-14
45000000167,00003,0010,36,2025-01-23
45000000167,00004,0010,50,2025-03-06
45000000167,00005,0010,20,2025-02-25
45000000167,00005,0020,17,2025-03-05
45000000168,00001,0010,58,2025-03-02
45000000168,00002,0010,50,2025-03-02
45000000168,00003,0010,52,2025-03-13
45000000169,00001,0010,30,2025-04-29
45000000169,00001,0020,25,2025-05-14
45000000170,00001,0010,42,2025-06-10
45000000170,00002,0010,45,2025-07-20
45000000170,00003,0010,48,2025-07-12
45000000170,00004,0010,47,2025-06-28
45000000171,00001,0010,31,2025-02-08
45000000171,00001,0020,32,2025-02-12
45000000171,00002,0010,70,2025-03-31
45000000171,00003,0010,46,2025-03-27
45000000171,00004,0010,60,2025-02-15
45000000172,00001,0010,61,2025-05-07
45000000172,00002,0010,58,2025-04-05
45000000173,00001,0010,27,2025-03-27
45000000173,00001,0020,23,2025-04-07
45000000174,00001,0010,51,2025-06-27
45000000174,00002,0010,18,2025-06-27
45000000174,00002,0020,39,2025-07-02
45000000174,00003,0010,67,2025-06-11
45000000175,00001,0010,43,2025-06-02
45000000176,00001,0010,41,2025-04-28
45000000176,00002,0010,53,2025-05-16
45000000176,00003,0010,57,2025-06-07
45000000176,00004,0010,50,2025-05-05
45000000176,00005,0010,43,2025-05-16
45000000177,00001,0010,47,2025-06-03
45000000177,00002,0010,22,2025-06-22
45000000177,00002,0020,17,2025-06-25
45000000178,00001,0010,41,2025-03-19
45000000179,00001,0010,46,2025-04-19
45000000180,00001,0010,59,2025-03-11
45000000181,00001,0010,45,2025-01-28
45000000182,00001,0010,49,2025-02-28
45000000182,00002,0010,49,2025-04-18
45000000183,00001,0010,47,2025-06-06
45000000184,00001,0010,59,2025-06-28
45000000184,00002,0010,57,2025-06-10
45000000184,00003,0010,19,2025-07-12
45000000184,00003,0020,25,2025-07-26
45000000185,00001,0010,50,2025-05-18
45000000185,00002,0010,23,2025-06-16
45000000185,00002,0020,35,2025-06-19
45000000186,00001,0010,36,2025-03-28
45000000187,00001,0010,52,2025-05-11
45000000187,00002,0010,48,2025-05-10
45000000188,00001,0010,60,2025-03-17
45000000188,00002,0010,51,2025-04-03
45000000189,00001,0010,27,2025-03-22
45000000189,00001,0020,13,2025-03-31
45000000189,00002,0010,39,2025-05-13
45000000189,00003,0010,44,2025-05-11
45000000190,00001,0010,56,2025-05-11
45000000190,00002,0010,42,2025-04-14
45000000191,00001,0010,21,2025-06-11
45000000191,00001,0020,43,2025-06-22
45000000191,00002,0010,44,2025-06-16
45000000191,00003,0010,26,2025-06-21
45000000191,00003,0020,18,2025-07-03
45000000192,00001,0010,43,2025-04-02
45000000193,00001,0010,68,2025-02-21
45000000193,00002,0010,53,2025-02-04
45000000193,00003,0010,57,2025-01-30
45000000194,00001,0010,21,2025-02-17
45000000194,00001,0020,20,2025-02-24
45000000194,00002,0010,52,2025-03-06
45000000194,00003,0010,26,2025-02-26
45000000194,00003,0020,19,2025-03-04
45000000194,00004,0010,47,2025-02-25
45000000195,00001,0010,44,2025-06-12
45000000195,00002,0010,51,2025-06-06
45000000195,00003,0010,32,2025-05-08
45000000195,00003,0020,15,2025-05-17
45000000195,00004,0010,36,2025-05-12
45000000195,00004,0020,27,2025-05-18
45000000195,00005,0010,49,2025-06-03
45000000196,00001,0010,52,2025-04-22
45000000196,00002,0010,48,2025-03-08
45000000196,00003,0010,59,2025-04-16
45000000197,00001,0010,52,2025-05-31
45000000197,00002,0010,60,2025-06-11
45000000198,00001,0010,42,2025-05-18
45000000198,00002,0010,57,2025-05-29
45000000199,00001,0010,54,2025-05-30
45000000199,00002,0010,48,2025-05-29
45000000200,00001,0010,55,2025-03-16
45000000201,00001,0010,58,2025-05-28
45000000201,00002,0010,20,2025-06-13
45000000201,00002,0020,28,2025-06-23
45000000202,00001,0010,27,2025-02-25
45000000202,00001,0020,21,2025-03-06
45000000202,00002,0010,49,2025-02-24
45000000202,00003,0010,34,2025-02-24
45000000202,00003,0020,21,2025-03-11
45000000203,00001,0010,63,2025-03-02
45000000203,00002,0010,46,2025-03-15
45000000203,00003,0010,28,2025-03-11
45000000203,00003,0020,28,2025-03-23
45000000203,00004,0010,52,2025-03-22
45000000203,00005,0010,35,2025-02-21
45000000203,00005,0020,23,2025-02-23
45000000204,00001,0010,52,2025-02-09
45000000205,00001,0010,20,2025-05-31
45000000205,00001,0020,29,2025-06-06
45000000205,00002,0010,48,2025-04-30
45000000206,00001,0010,30,2025-06-16
45000000206,00001,0020,18,2025-06-20
45000000207,00001,0010,23,2025-01-06
45000000207,00001,0020,17,2025-01-12
45000000208,00001,0010,58,2025-01-29
45000000209,00001,0010,25,2025-04-03
45000000209,00001,0020,29,2025-04-15
45000000210,00001,0010,49,2025-05-01
45000000211,00001,0010,42,2025-02-24
45000000212,00001,0010,18,2025-04-28
45000000212,00001,0020,22,2025-05-12
45000000213,00001,0010,51,2025-04-10
45000000213,00002,0010,38,2025-04-14
45000000213,00002,0020,32,2025-04-28
45000000214,00001,0010,30,2025-07-23
45000000214,00001,0020,18,2025-08-05
45000000214,00002,0010,41,2025-08-12
45000000214,00002,0020,20,2025-08-25
45000000214,00003,0010,23,2025-07-22
45000000214,00003,0020,16,2025-07-25
45000000214,00004,0010,47,2025-08-12
45000000214,00005,0010,63,2025-08-10
45000000214,00006,0010,54,2025-07-29
45000000214,00007,0010,29,2025-06-30
45000000214,00007,0020,26,2025-07-08
45000000215,00001,0010,55,2025-07-11
45000000215,00002,0010,36,2025-06-23
45000000215,00003,0010,48,2025-06-22
45000000215,00004,0010,42,2025-07-24
45000000215,00005,0010,19,2025-06-27
45000000215,00005,0020,26,2025-07-01
45000000216,00001,0010,47,2025-05-09
45000000217,00001,0010,43,2025-07-31
45000000218,00001,0010,57,2025-06-08
45000000219,00001,0010,41,2025-03-13
45000000219,00002,0010,15,2025-02-23
45000000219,00002,0020,30,2025-03-01
45000000219,00003,0010,43,2025-02-13
45000000219,00004,0010,56,2025-02-04
45000000220,00001,0010,52,2025-08-23
45000000220,00002,0010,42,2025-08-05
45000000220,00003,0010,43,2025-07-30
45000000221,00001,0010,38,2025-01-21
45000000221,00002,0010,54,2025-03-15
45000000222,00001,0010,44,2025-08-01
45000000222,00002,0010,58,2025-07-24
45000000223,00001,0010,37,2025-04-23
45000000223,00002,0010,36,2025-04-10
45000000224,00001,0010,51,2025-02-17
45000000224,00002,0010,27,2025-02-07
45000000224,00002,0020,20,2025-02-16
45000000224,00003,0010,60,2025-02-23
45000000224,00004,0010,58,2025-01-29
45000000225,00001,0010,55,2025-06-21
45000000225,00002,0010,66,2025-06-10
45000000226,00001,0010,47,2025-04-21
45000000226,00002,0010,46,2025-06-01
45000000227,00001,0010,45,2025-02-21
45000000227,00002,0010,44,2025-03-04
45000000227,00003,0010,57,2025-03-15
45000000227,00004,0010,46,2025-02-01
45000000228,00001,0010,51,2025-03-19
45000000228,00002,0010,19,2025-03-09
45000000228,00002,0020,37,2025-03-19
45000000228,00003,0010,53,2025-02-08
45000000228,00004,0010,55,2025-02-02
45000000229,00001,0010,35,2025-06-09
45000000230,00001,0010,51,2025-02-16
45000000231,00001,0010,47,2025-03-02
45000000231,00002,0010,28,2025-03-19
45000000231,00002,0020,17,2025-04-03
45000000232,00001,0010,18,2025-03-24
45000000232,00001,0020,33,2025-03-29
45000000233,00001,0010,52,2025-01-27
45000000233,00002,0010,24,2025-03-02
45000000233,00002,0020,20,2025-03-06
45000000233,00003,0010,20,2025-03-12
45000000233,00003,0020,33,2025-03-23
45000000233,00004,0010,49,2025-02-04
45000000233,00005,0010,45,2025-03-04
45000000234,00001,0010,50,2025-02-04
45000000235,00001,0010,55,2025-06-18
45000000235,00002,0010,52,2025-07-19
45000000235,00003,0010,18,2025-06-15
45000000235,00003,0020,44,2025-06-21
45000000235,00004,0010,53,2025-07-03
45000000236,00001,0010,51,2025-04-23
45000000237,00001,0010,42,2025-05-17
45000000238,00001,0010,48,2025-02-18
45000000239,00001,0010,53,2025-06-13
45000000239,00002,0010,57,2025-07-09
45000000239,00003,0010,38,2025-06-01
45000000239,00004,0010,40,2025-06-14
