MBLNR,MJAHR,MATNR,EBELN,EBELP,GR_DATE,GR_QTY,BWART
67075296,2025,M100405,45000000030,00001,2025-05-24,47,101
53202307,2025,M100335,45000000031,00001,2025-08-15,41,102
62272379,2025,M100379,45000000032,00001,2025-07-26,45,101
51573401,2025,M100240,45000000032,00002,2025-08-19,62,105
59564907,2025,M100051,45000000033,00001,2025-01-23,59,101
60701622,2025,M100294,45000000033,00002,2025-02-18,27,102
68105174,2025,M100294,45000000033,00002,2025-02-25,30,102
68106899,2025,M100357,45000000034,00002,2025-02-14,14,101
63208911,2025,M100357,45000000034,00002,2025-02-18,16,101
58004322,2025,M100357,45000000034,00002,2025-02-07,23,105
59351660,2025,M100248,45000000035,00001,2025-02-16,20,105
64925549,2025,M100248,45000000035,00001,2025-01-23,24,105
55283072,2025,M100260,45000000035,00002,2025-03-01,48,105
59478608,2025,M100230,45000000035,00003,2025-02-27,48,105
57943340,2025,M100403,45000000035,00004,2025-03-10,63,102
56371096,2025,M100193,45000000035,00005,2025-03-08,43,105
51792536,2025,M100079,45000000036,00002,2025-05-06,28,102
51428462,2025,M100079,45000000036,00002,2025-05-05,23,105
51428080,2025,M100402,45000000036,00003,2025-03-27,46,105
53109033,2025,M100095,45000000036,00004,2025-03-10,22,105
52646128,2025,M100095,45000000036,00004,2025-03-21,16,101
54874097,2025,M100095,45000000036,00004,2025-03-15,14,102
68573882,2025,M100199,45000000036,00005,2025-03-04,53,102
58085572,2025,M100385,45000000036,00006,2025-03-10,51,101
51085437,2025,M100157,45000000037,00001,2025-04-09,47,102
54923779,2025,M100142,45000000038,00001,2025-03-18,45,101
50235230,2025,M100331,45000000039,00001,2025-06-20,48,102
59941033,2025,M100187,45000000039,00002,2025-05-12,52,102
54616641,2025,M100089,45000000040,00001,2025-07-03,17,105
52131492,2025,M100089,45000000040,00001,2025-07-12,3,102
52463859,2025,M100089,45000000040,00001,2025-07-24,13,105
66304688,2025,M100343,45000000041,00001,2025-04-24,21,102
54438262,2025,M100343,45000000041,00001,2025-05-03,37,102
50093148,2025,M100060,45000000042,00001,2025-06-12,42,102
52472036,2025,M100243,45000000043,00001,2025-02-28,42,105
66312883,2025,M100333,45000000044,00001,2025-06-15,38,105
61094574,2025,M100198,45000000044,00003,2025-06-04,16,101
63295159,2025,M100198,45000000044,00003,2025-05-27,9,102
64561707,2025,M100198,45000000044,00003,2025-05-17,22,101
52943731,2025,M100225,45000000044,00004,2025-07-18,44,105
68287791,2025,M100482,45000000045,00001,2025-07-01,52,105
55533421,2025,M100018,45000000045,00002,2025-06-02,30,101
50966786,2025,M100018,45000000045,00002,2025-06-15,40,101
61373825,2025,M100345,45000000045,00003,2025-06-05,59,101
69073134,2025,M100376,45000000046,00001,2025-07-08,25,102
57759972,2025,M100376,45000000046,00001,2025-07-02,25,101
67899482,2025,M100124,45000000046,00002,2025-05-21,13,102
54464348,2025,M100124,45000000046,00002,2025-04-28,48,102
60793814,2025,M100178,45000000047,00001,2025-03-18,22,102
69815094,2025,M100178,45000000047,00001,2025-03-04,17,101
59573525,2025,M100139,45000000047,00002,2025-04-07,24,102
68826043,2025,M100308,45000000047,00003,2025-02-13,51,101
61757170,2025,M100465,45000000047,00004,2025-04-24,42,105
63359257,2025,M100038,45000000047,00005,2025-03-02,24,102
55632916,2025,M100038,45000000047,00005,2025-02-22,24,105
66553188,2025,M100345,45000000048,00001,2025-04-05,68,105
62746864,2025,M100216,45000000049,00001,2025-04-22,60,101
54682177,2025,M100478,45000000049,00002,2025-04-06,22,102
51022851,2025,M100478,45000000049,00002,2025-04-27,21,102
64146527,2025,M100085,45000000049,00003,2025-03-28,43,102
62279998,2025,M100320,45000000050,00001,2025-02-06,54,105
50146566,2025,M100120,45000000050,00002,2025-03-26,49,101
64198908,2025,M100497,45000000050,00003,2025-02-13,47,102
61638723,2025,M100167,45000000050,00004,2025-03-19,52,105
56014388,2025,M100150,45000000051,00001,2025-03-04,54,102
60321032,2025,M100193,45000000051,00002,2025-03-21,57,102
58865565,2025,M100283,45000000051,00003,2025-03-31,46,105
65687980,2025,M100346,45000000052,00001,2025-07-28,58,105
52682741,2025,M100085,45000000052,00002,2025-06-18,20,105
69313219,2025,M100085,45000000052,00002,2025-07-14,28,105
63576651,2025,M100382,45000000053,00001,2025-07-03,24,105
63030637,2025,M100382,45000000053,00001,2025-06-27,8,101
56536681,2025,M100382,45000000053,00001,2025-06-29,14,102
63287154,2025,M100368,45000000053,00002,2025-07-20,47,105
58149948,2025,M100075,45000000054,00002,2025-03-08,58,105
58199382,2025,M100086,45000000054,00003,2025-02-10,18,101
68913356,2025,M100086,45000000054,00003,2025-02-11,27,101
66403718,2025,M100157,45000000054,00004,2025-04-02,60,101
66074518,2025,M100459,45000000055,00001,2025-06-27,22,101
57057614,2025,M100459,45000000055,00001,2025-06-26,26,105
68812997,2025,M100443,45000000055,00003,2025-08-05,50,101
65441391,2025,M100399,45000000056,00001,2025-07-31,28,102
58666683,2025,M100399,45000000056,00001,2025-07-17,21,101
67948852,2025,M100319,45000000056,00002,2025-06-26,14,102
57995969,2025,M100319,45000000056,00002,2025-06-25,7,105
50727832,2025,M100319,45000000056,00002,2025-06-27,29,105
52189717,2025,M100485,45000000057,00001,2025-04-26,41,102
67323002,2025,M100243,45000000057,00002,2025-05-08,54,102
66597499,2025,M100051,45000000058,00001,2025-08-15,45,105
50305103,2025,M100353,45000000059,00001,2025-07-07,56,105
59017049,2025,M100025,45000000060,00001,2025-06-16,11,105
54255967,2025,M100025,45000000060,00001,2025-07-02,25,102
52330021,2025,M100378,45000000060,00002,2025-07-06,19,101
50126841,2025,M100378,45000000060,00002,2025-06-30,8,105
59541068,2025,M100378,45000000060,00002,2025-07-11,25,101
55051547,2025,M100446,45000000060,00003,2025-07-04,44,101
56836783,2025,M100491,45000000061,00001,2025-03-15,45,101
63482475,2025,M100017,45000000062,00001,2025-04-19,33,102
50948823,2025,M100017,45000000062,00001,2025-05-17,24,102
57987303,2025,M100058,45000000062,00002,2025-04-24,54,102
55686325,2025,M100139,45000000062,00003,2025-05-25,51,105
52845897,2025,M100042,45000000063,00001,2025-06-13,53,105
51800052,2025,M100284,45000000063,00002,2025-06-17,36,101
65879394,2025,M100226,45000000064,00002,2025-03-02,56,102
54621119,2025,M100251,45000000064,00003,2025-04-06,43,102
55365388,2025,M100202,45000000065,00001,2025-03-14,43,101
56405885,2025,M100493,45000000065,00002,2025-04-07,64,105
58803748,2025,M100115,45000000065,00003,2025-02-26,55,102
58967951,2025,M100157,45000000066,00001,2025-05-31,48,102
53506008,2025,M100432,45000000066,00002,2025-05-05,49,105
69270827,2025,M100495,45000000068,00001,2025-06-09,55,105
66981431,2025,M100340,45000000068,00002,2025-06-08,18,102
69772865,2025,M100340,45000000068,00002,2025-06-06,42,105
50476675,2025,M100123,45000000069,00001,2025-02-17,43,102
63990383,2025,M100295,45000000069,00002,2025-03-20,13,102
57263804,2025,M100295,45000000069,00002,2025-03-25,41,101
62784440,2025,M100294,45000000069,00003,2025-03-14,50,101
53500713,2025,M100017,45000000069,00004,2025-03-05,42,102
57649686,2025,M100279,45000000070,00001,2025-05-12,47,102
65113923,2025,M100075,45000000070,00002,2025-03-16,49,102
56479647,2025,M100128,45000000071,00001,2025-05-09,12,105
60206781,2025,M100128,45000000071,00001,2025-06-01,18,102
55792333,2025,M100128,45000000071,00001,2025-05-18,20,105
66911961,2025,M100412,45000000071,00002,2025-04-21,53,105
54320732,2025,M100358,45000000071,00003,2025-06-03,20,101
67644919,2025,M100358,45000000071,00003,2025-05-30,31,105
68342716,2025,M100316,45000000072,00001,2025-06-19,51,102
52584864,2025,M100436,45000000073,00001,2025-05-29,62,105
65687993,2025,M100115,45000000073,00002,2025-06-24,20,105
63133708,2025,M100115,45000000073,00002,2025-06-18,36,101
64892221,2025,M100237,45000000074,00001,2025-06-20,47,105
68172296,2025,M100028,45000000075,00001,2025-06-26,14,101
64924139,2025,M100028,45000000075,00001,2025-06-02,40,101
51991588,2025,M100147,45000000075,00002,2025-07-02,25,105
63998266,2025,M100147,45000000075,00002,2025-07-08,23,101
64049061,2025,M100255,45000000075,00003,2025-06-02,52,102
66997582,2025,M100214,45000000075,00004,2025-08-05,41,102
63374703,2025,M100388,45000000076,00002,2025-05-30,62,102
55776324,2025,M100247,45000000077,00001,2025-06-30,14,102
64460396,2025,M100247,45000000077,00001,2025-06-29,30,102
64979061,2025,M100460,45000000077,00002,2025-07-13,59,102
59770048,2025,M100317,45000000077,00003,2025-07-23,30,105
61992800,2025,M100317,45000000077,00003,2025-06-23,26,101
53573928,2025,M100495,45000000078,00001,2025-03-07,43,101
58724558,2025,M100176,45000000078,00002,2025-03-22,47,101
59935672,2025,M100217,45000000078,00003,2025-03-19,52,101
63641080,2025,M100248,45000000079,00001,2025-04-26,11,105
50570041,2025,M100248,45000000079,00001,2025-05-11,30,105
52131477,2025,M100486,45000000079,00002,2025-06-13,22,102
58225882,2025,M100486,45000000079,00002,2025-05-15,20,102
58985244,2025,M100266,45000000080,00001,2025-08-14,26,101
67203174,2025,M100266,45000000080,00001,2025-08-08,25,105
51627770,2025,M100475,45000000080,00002,2025-08-02,47,105
59327360,2025,M100300,45000000080,00003,2025-06-07,64,105
69591821,2025,M100193,45000000080,00004,2025-06-07,50,102
69322534,2025,M100066,45000000080,00005,2025-08-07,24,102
59151500,2025,M100066,45000000080,00005,2025-07-16,32,102
63060747,2025,M100094,45000000081,00002,2025-03-09,50,105
51417250,2025,M100319,45000000081,00003,2025-03-22,53,102
66513578,2025,M100111,45000000081,00004,2025-03-02,35,102
50475155,2025,M100111,45000000081,00004,2025-03-10,35,105
69227937,2025,M100326,45000000081,00005,2025-02-23,52,102
64502104,2025,M100044,45000000082,00001,2025-06-03,13,101
58421312,2025,M100044,45000000082,00001,2025-06-11,38,102
53020679,2025,M100028,45000000083,00001,2025-06-06,23,102
54694669,2025,M100028,45000000083,00001,2025-07-07,22,102
65725077,2025,M100258,45000000083,00002,2025-06-19,60,101
53233608,2025,M100255,45000000083,00003,2025-07-21,58,105
59586593,2025,M100039,45000000083,00004,2025-07-24,39,105
53814427,2025,M100371,45000000083,00005,2025-07-16,45,105
58969260,2025,M100417,45000000084,00001,2025-03-23,44,105
66806081,2025,M100331,45000000084,00002,2025-03-19,51,105
67448295,2025,M100417,45000000084,00003,2025-03-11,63,102
64102412,2025,M100385,45000000085,00001,2025-06-27,8,101
57374697,2025,M100385,45000000085,00001,2025-06-25,28,101
62641426,2025,M100209,45000000085,00003,2025-07-24,24,105
55561524,2025,M100209,45000000085,00003,2025-07-18,26,102
57039282,2025,M100041,45000000086,00001,2025-06-09,34,101
62883193,2025,M100169,45000000086,00002,2025-06-04,39,102
62466493,2025,M100148,45000000087,00001,2025-01-18,51,101
66799118,2025,M100172,45000000087,00003,2025-03-07,18,101
54921811,2025,M100172,45000000087,00003,2025-03-20,29,102
68413308,2025,M100061,45000000087,00004,2025-03-16,19,105
64106567,2025,M100061,45000000087,00004,2025-02-26,33,101
57384108,2025,M100134,45000000088,00001,2025-05-12,40,105
69437126,2025,M100245,45000000088,00002,2025-06-16,49,101
51204992,2025,M100309,45000000089,00001,2025-06-25,46,105
59151391,2025,M100056,45000000090,00001,2025-09-09,20,105
51866593,2025,M100056,45000000090,00001,2025-09-10,44,105
69492607,2025,M100387,45000000091,00001,2025-04-07,35,102
64116996,2025,M100080,45000000091,00002,2025-02-12,56,102
52596909,2025,M100012,45000000092,00001,2025-07-12,43,105
57050824,2025,M100359,45000000092,00002,2025-07-28,56,102
60751027,2025,M100115,45000000093,00001,2025-07-18,51,102
62401512,2025,M100347,45000000093,00002,2025-07-11,51,105
63589109,2025,M100124,45000000095,00001,2025-05-21,51,105
64874474,2025,M100175,45000000096,00001,2025-05-16,47,102
50566874,2025,M100106,45000000096,00002,2025-05-20,52,105
69920522,2025,M100056,45000000097,00001,2025-02-10,57,102
61198443,2025,M100230,45000000097,00002,2025-02-17,48,105
69027793,2025,M100072,45000000098,00001,2025-06-23,14,105
62984442,2025,M100072,45000000098,00001,2025-07-20,42,105
50890967,2025,M100399,45000000099,00001,2025-06-10,48,105
63019923,2025,M100221,45000000099,00002,2025-04-30,52,105
51579585,2025,M100151,45000000099,00003,2025-05-26,20,102
54923595,2025,M100151,45000000099,00003,2025-06-01,5,105
63006443,2025,M100151,45000000099,00003,2025-06-02,13,105
67159095,2025,M100241,45000000099,00004,2025-05-06,64,105
51550891,2025,M100318,45000000100,00002,2025-05-14,54,101
61002620,2025,M100430,45000000100,00003,2025-05-24,46,102
57559358,2025,M100278,45000000101,00001,2025-08-28,50,101
66335585,2025,M100120,45000000101,00002,2025-06-28,43,102
57315551,2025,M100234,45000000102,00001,2025-06-23,60,101
60680098,2025,M100212,45000000102,00002,2025-05-14,48,102
53141169,2025,M100109,45000000102,00003,2025-06-01,49,105
67333491,2025,M100449,45000000103,00001,2025-03-30,46,102
60441455,2025,M100147,45000000104,00001,2025-04-20,50,102
60447619,2025,M100377,45000000105,00002,2025-05-23,58,101
53436065,2025,M100418,45000000105,00003,2025-05-12,35,101
64897147,2025,M100335,45000000105,00006,2025-05-23,18,101
63205143,2025,M100335,45000000105,00006,2025-05-31,32,105
65110709,2025,M100158,45000000105,00007,2025-06-28,28,105
68043118,2025,M100158,45000000105,00007,2025-06-28,23,101
58959355,2025,M100370,45000000107,00001,2025-05-26,44,102
65872209,2025,M100012,45000000108,00001,2025-03-27,48,105
64202196,2025,M100415,45000000109,00001,2025-05-26,43,105
54520203,2025,M100110,45000000111,00001,2025-07-15,42,105
66979613,2025,M100138,45000000112,00001,2025-07-07,37,105
62282649,2025,M100240,45000000112,00002,2025-07-21,61,102
64736510,2025,M100369,45000000112,00003,2025-07-26,46,101
51266541,2025,M100067,45000000113,00001,2025-05-30,62,101
60210606,2025,M100205,45000000113,00002,2025-07-03,47,105
53035677,2025,M100070,45000000113,00003,2025-06-24,12,102
52314335,2025,M100070,45000000113,00003,2025-07-03,34,105
63054727,2025,M100054,45000000113,00004,2025-06-16,25,101
56955966,2025,M100054,45000000113,00004,2025-06-30,34,102
58543230,2025,M100221,45000000113,00005,2025-07-14,51,102
68279426,2025,M100137,45000000114,00001,2025-04-04,52,102
53855557,2025,M100296,45000000114,00002,2025-03-11,15,102
61296774,2025,M100296,45000000114,00002,2025-02-12,13,101
55556104,2025,M100296,45000000114,00002,2025-02-18,23,101
59619359,2025,M100332,45000000114,00003,2025-03-15,45,101
62972276,2025,M100042,45000000115,00001,2025-02-25,27,105
69823915,2025,M100042,45000000115,00001,2025-02-11,31,102
65091055,2025,M100424,45000000115,00002,2025-04-14,59,102
59684329,2025,M100434,45000000115,00003,2025-03-28,22,105
50962065,2025,M100434,45000000115,00003,2025-04-04,18,101
61672945,2025,M100434,45000000115,00003,2025-04-16,14,105
56280201,2025,M100426,45000000116,00001,2025-04-17,21,101
63945762,2025,M100426,45000000116,00001,2025-04-05,23,102
63941459,2025,M100059,45000000116,00002,2025-04-15,43,102
60517555,2025,M100104,45000000116,00003,2025-02-28,66,105
51076145,2025,M100081,45000000117,00001,2025-08-09,39,101
57388022,2025,M100030,45000000117,00002,2025-08-05,27,102
52428351,2025,M100030,45000000117,00002,2025-07-30,32,101
66382016,2025,M100473,45000000117,00003,2025-07-10,30,102
65177994,2025,M100473,45000000117,00003,2025-06-27,5,105
60985648,2025,M100473,45000000117,00003,2025-06-30,20,101
54036518,2025,M100252,45000000117,00004,2025-07-23,54,102
58231346,2025,M100161,45000000118,00001,2025-07-04,66,102
62096255,2025,M100486,45000000118,00002,2025-07-10,59,102
62875845,2025,M100076,45000000119,00001,2025-03-29,16,101
54303043,2025,M100076,45000000119,00001,2025-04-26,51,102
62797398,2025,M100452,45000000120,00001,2025-04-14,44,105
56130653,2025,M100254,45000000120,00002,2025-02-27,46,102
53109876,2025,M100108,45000000121,00001,2025-06-14,45,102
50083219,2025,M100435,45000000121,00002,2025-06-27,57,101
56988927,2025,M100127,45000000121,00003,2025-06-22,51,102
63399297,2025,M100261,45000000121,00004,2025-06-04,20,102
67983285,2025,M100261,45000000121,00004,2025-05-28,4,101
60089484,2025,M100261,45000000121,00004,2025-05-19,14,102
62119767,2025,M100245,45000000122,00001,2025-02-01,15,102
52808239,2025,M100245,45000000122,00001,2025-02-21,18,102
59811675,2025,M100245,45000000122,00001,2025-02-27,19,105
53840529,2025,M100232,45000000122,00002,2025-01-09,49,102
67349608,2025,M100126,45000000123,00001,2025-06-07,54,102
54496732,2025,M100248,45000000123,00002,2025-04-17,46,105
59576934,2025,M100228,45000000124,00001,2025-06-19,54,101
53179570,2025,M100287,45000000124,00002,2025-06-26,43,105
66845950,2025,M100425,45000000124,00003,2025-07-20,57,101
52878101,2025,M100406,45000000125,00001,2025-04-23,29,102
69538648,2025,M100406,45000000125,00001,2025-04-06,21,101
66152468,2025,M100309,45000000125,00002,2025-05-21,12,105
53485792,2025,M100309,45000000125,00002,2025-05-31,8,101
68404718,2025,M100309,45000000125,00002,2025-06-05,24,101
67599484,2025,M100400,45000000126,00001,2025-06-01,64,102
51774326,2025,M100319,45000000126,00002,2025-05-25,49,102
54791166,2025,M100034,45000000126,00003,2025-06-07,55,102
52419341,2025,M100025,45000000127,00001,2025-01-30,42,102
51771467,2025,M100256,45000000127,00003,2025-03-01,16,101
51819651,2025,M100256,45000000127,00003,2025-03-13,31,101
50633067,2025,M100415,45000000129,00001,2025-05-19,43,105
53207013,2025,M100401,45000000130,00001,2025-05-14,16,101
55147335,2025,M100401,45000000130,00001,2025-05-22,36,101
60570890,2025,M100409,45000000130,00002,2025-05-06,47,101
63482014,2025,M100349,45000000131,00001,2025-05-16,9,102
56905725,2025,M100349,45000000131,00001,2025-05-22,39,105
59323949,2025,M100221,45000000132,00001,2025-05-28,55,101
56180364,2025,M100176,45000000132,00002,2025-05-06,38,105
50923797,2025,M100290,45000000133,00001,2025-05-11,57,101
56970414,2025,M100156,45000000134,00002,2025-03-25,13,102
57015423,2025,M100156,45000000134,00002,2025-04-09,44,101
62200968,2025,M100225,45000000134,00003,2025-03-30,47,101
55312467,2025,M100325,45000000135,00001,2025-01-26,31,101
63815045,2025,M100325,45000000135,00001,2025-02-04,9,105
61182234,2025,M100325,45000000135,00001,2025-02-06,20,101
60012677,2025,M100309,45000000135,00002,2025-02-16,53,102
55813729,2025,M100344,45000000135,00003,2025-01-16,59,102
58979927,2025,M100058,45000000136,00001,2025-03-04,47,101
65227573,2025,M100309,45000000136,00002,2025-04-30,16,105
58137049,2025,M100309,45000000136,00002,2025-05-08,40,102
55950775,2025,M100212,45000000137,00001,2025-04-15,46,105
53090871,2025,M100328,45000000137,00002,2025-05-02,54,102
61157372,2025,M100231,45000000137,00003,2025-05-31,17,105
63089138,2025,M100231,45000000137,00003,2025-05-10,9,101
58264062,2025,M100231,45000000137,00003,2025-05-29,23,105
63975055,2025,M100163,45000000137,00004,2025-05-18,36,102
57354309,2025,M100039,45000000137,00005,2025-04-13,58,101
55343676,2025,M100469,45000000138,00001,2025-05-08,56,102
60662952,2025,M100277,45000000138,00003,2025-06-24,15,105
68830512,2025,M100277,45000000138,00003,2025-06-13,8,105
54270868,2025,M100277,45000000138,00003,2025-06-25,18,105
56796382,2025,M100216,45000000139,00002,2025-06-13,13,105
66570995,2025,M100216,45000000139,00002,2025-06-22,37,105
52744625,2025,M100076,45000000139,00003,2025-07-28,53,101
68356028,2025,M100437,45000000140,00001,2025-05-04,23,101
59108466,2025,M100437,45000000140,00001,2025-04-28,17,101
64400418,2025,M100430,45000000140,00003,2025-05-16,59,101
63196836,2025,M100145,45000000141,00001,2025-07-05,36,105
69805090,2025,M100079,45000000142,00001,2025-07-18,53,105
63934503,2025,M100215,45000000142,00002,2025-07-10,53,101
52795165,2025,M100496,45000000143,00001,2025-09-18,51,101
52965691,2025,M100299,45000000144,00001,2025-03-14,28,101
50775826,2025,M100299,45000000144,00001,2025-03-17,31,102
51977387,2025,M100208,45000000145,00001,2025-07-10,48,102
59189541,2025,M100277,45000000145,00002,2025-05-26,27,105
66172348,2025,M100277,45000000145,00002,2025-06-22,21,105
69254903,2025,M100232,45000000146,00002,2025-06-20,20,101
54422974,2025,M100232,45000000146,00002,2025-06-03,21,101
64831782,2025,M100299,45000000147,00002,2025-06-29,64,102
69399582,2025,M100017,45000000147,00003,2025-06-06,49,105
63604962,2025,M100391,45000000148,00001,2025-03-08,16,101
53653566,2025,M100391,45000000148,00001,2025-03-02,34,102
63267811,2025,M100306,45000000148,00002,2025-03-10,7,105
52681799,2025,M100306,45000000148,00002,2025-03-07,12,105
56090869,2025,M100306,45000000148,00002,2025-02-26,18,105
52967258,2025,M100319,45000000149,00001,2025-07-08,23,105
50858148,2025,M100319,45000000149,00001,2025-07-16,12,102
57329993,2025,M100319,45000000149,00001,2025-07-04,21,102
63073793,2025,M100497,45000000149,00002,2025-06-02,55,101
58284539,2025,M100317,45000000149,00003,2025-05-15,9,105
69632737,2025,M100317,45000000149,00003,2025-05-31,28,101
57772005,2025,M100476,45000000150,00001,2025-07-22,44,102
56882634,2025,M100058,45000000150,00003,2025-07-26,28,105
53368558,2025,M100058,45000000150,00003,2025-07-17,10,102
68902948,2025,M100058,45000000150,00003,2025-07-02,15,105
52387692,2025,M100170,45000000150,00004,2025-06-25,49,102
58423685,2025,M100399,45000000151,00001,2025-03-27,53,105
69405934,2025,M100352,45000000151,00002,2025-05-02,45,105
50836018,2025,M100106,45000000152,00001,2025-03-19,38,101
51296963,2025,M100122,45000000152,00002,2025-03-27,52,101
53995324,2025,M100200,45000000152,00003,2025-03-01,24,102
52427787,2025,M100200,45000000152,00003,2025-02-05,22,105
54093435,2025,M100476,45000000153,00001,2025-03-06,59,101
58762173,2025,M100410,45000000153,00002,2025-03-29,21,101
57030655,2025,M100410,45000000153,00002,2025-03-11,46,102
68974167,2025,M100164,45000000153,00003,2025-03-20,62,105
68238350,2025,M100011,45000000154,00001,2025-01-13,11,102
52678901,2025,M100011,45000000154,00001,2025-01-10,29,102
66626637,2025,M100247,45000000154,00002,2025-02-21,44,101
69561118,2025,M100080,45000000155,00001,2025-07-08,52,105
60182263,2025,M100184,45000000155,00002,2025-07-28,22,102
55421455,2025,M100184,45000000155,00002,2025-07-27,15,105
53087532,2025,M100040,45000000155,00003,2025-08-15,41,101
60640573,2025,M100146,45000000156,00001,2025-05-21,55,101
65986568,2025,M100073,45000000156,00004,2025-06-10,28,105
59883928,2025,M100073,45000000156,00004,2025-06-20,8,102
52407449,2025,M100073,45000000156,00004,2025-06-09,13,101
66754299,2025,M100365,45000000157,00001,2025-07-08,30,102
62715479,2025,M100365,45000000157,00001,2025-07-13,11,101
55681411,2025,M100365,45000000157,00001,2025-07-24,13,101
51606758,2025,M100331,45000000158,00001,2025-04-27,58,101
57307987,2025,M100289,45000000158,00002,2025-04-20,39,102
