EBELN,EBELP,MATNR,ORDER_QTY,NETPR,LINE_NETWR,WERKS,SCHEDULED_DATE,BSTYP
45000000028,00004,M100187,58,4.51,261.58,PL02,2025-05-13,
45000000029,00001,M100427,47,58.6,2754.2,PL02,2025-02-24,
45000000029,00002,M100016,58,47.9,2778.2,PL01,2025-01-31,
45000000029,00003,M100178,49,16.41,804.09,PL01,2025-02-20,
45000000030,00001,M100405,47,45.73,2149.31,PL02,2025-05-05,
45000000031,00001,M100335,41,53.01,2173.41,PL04,2025-08-13,
45000000031,00002,M100338,57,12.05,686.85,PL02,2025-08-29,
45000000032,00001,M100379,45,7.66,344.7,PL01,2025-07-04,
45000000032,00002,M100240,62,12.35,765.7,PL03,2025-07-28,
45000000033,00001,M100051,59,40.43,2385.37,PL02,2025-01-23,
45000000033,00002,M100294,57,59.2,3374.4,PL01,2025-02-21,
45000000033,00003,M100292,49,49.7,2435.3,PL03,2025-02-26,
45000000034,00001,M100005,55,9.44,519.2,PL04,2025-02-02,
45000000034,00002,M100357,53,8.0,424.0,PL04,2025-02-08,
45000000035,00001,M100248,44,50.7,2230.8,PL01,2025-01-25,
45000000035,00002,M100260,48,80.63,3870.24,PL02,2025-02-12,
45000000035,00003,M100230,48,35.85,1720.8,PL04,2025-02-06,
45000000035,00004,M100403,63,31.35,1975.05,PL02,2025-02-28,
45000000035,00005,M100193,43,15.33,659.19,PL04,2025-03-08,
45000000036,00001,M100184,52,120.62,6272.24,PL01,2025-04-01,
45000000036,00002,M100079,51,15.02,766.02,PL04,2025-04-07,
45000000036,00003,M100402,46,7.6,349.6,PL04,2025-02-28,
45000000036,00004,M100095,52,78.87,4101.24,PL04,2025-03-06,
45000000036,00005,M100199,53,41.26,2186.78,PL01,2025-02-18,
45000000036,00006,M100385,51,44.2,2254.2,PL01,2025-02-16,
45000000037,00001,M100157,47,41.06,1929.82,PL01,2025-03-18,
45000000037,00002,M100268,53,4.29,227.37,PL02,2025-02-16,
45000000038,00001,M100142,45,30.25,1361.25,PL04,2025-03-11,
45000000039,00001,M100331,48,59.1,2836.8,PL01,2025-05-24,
45000000039,00002,M100187,52,30.58,1590.16,PL02,2025-04-28,
45000000040,00001,M100089,33,7.65,252.45,PL04,2025-07-03,
45000000041,00001,M100343,58,64.69,3752.02,PL04,2025-04-10,
45000000042,00001,M100060,42,9.89,415.38,PL02,2025-05-22,
45000000043,00001,M100243,42,109.93,4617.06,PL03,2025-02-07,
45000000044,00001,M100333,38,63.13,2398.94,PL02,2025-05-26,
45000000044,00002,M100454,53,40.09,2124.77,PL01,2025-05-26,
45000000044,00003,M100198,47,25.23,1185.81,PL04,2025-05-05,
45000000044,00004,M100225,44,17.52,770.88,PL01,2025-06-18,
45000000045,00001,M100482,52,19.32,1004.64,PL02,2025-07-04,
45000000045,00002,M100018,70,56.26,3938.2,PL01,2025-06-03,
45000000045,00003,M100345,59,13.31,785.29,PL02,2025-05-23,
45000000046,00001,M100376,50,72.93,3646.5,PL04,2025-06-12,
45000000046,00002,M100124,61,238.55,14551.55,PL03,2025-04-29,
45000000047,00001,M100178,39,102.0,3978.0,PL01,2025-02-18,
45000000047,00002,M100139,24,33.16,795.84,PL02,2025-03-23,
45000000047,00003,M100308,51,37.96,1935.96,PL02,2025-02-15,
45000000047,00004,M100465,42,101.18,4249.56,PL03,2025-04-05,
45000000047,00005,M100038,48,62.45,2997.6,PL01,2025-02-15,
45000000048,00001,M100345,68,21.1,1434.8,PL01,2025-04-01,
45000000049,00001,M100216,60,56.58,3394.8,PL03,2025-03-30,
45000000049,00002,M100478,43,13.51,580.93,PL02,2025-04-03,
45000000049,00003,M100085,43,44.48,1912.64,PL01,2025-03-22,
45000000050,00001,M100320,54,36.71,1982.34,PL03,2025-02-05,
45000000050,00002,M100120,49,4.64,227.36,PL03,2025-03-17,
45000000050,00003,M100497,47,31.75,1492.25,PL04,2025-02-11,
45000000050,00004,M100167,52,44.11,2293.72,PL04,2025-03-19,
45000000051,00001,M100150,54,104.91,5665.14,PL03,2025-02-27,
45000000051,00002,M100193,57,18.88,1076.16,PL03,2025-03-04,
45000000051,00003,M100283,46,7.0,322.0,PL02,2025-03-10,
45000000052,00001,M100346,58,2.1,121.8,PL01,2025-07-11,
45000000052,00002,M100085,48,55.65,2671.2,PL01,2025-06-14,
45000000053,00001,M100382,46,10.81,497.26,PL01,2025-06-17,
45000000053,00002,M100368,47,28.33,1331.51,PL02,2025-06-24,
45000000054,00001,M100129,49,426.61,20903.89,PL02,2025-01-30,
45000000054,00002,M100075,58,81.33,4717.14,PL02,2025-02-28,
45000000054,00003,M100086,45,21.75,978.75,PL03,2025-02-08,
45000000054,00004,M100157,60,19.45,1167.0,PL02,2025-03-09,
45000000055,00001,M100459,48,34.93,1676.64,PL04,2025-06-21,
45000000055,00002,M100159,59,71.74,4232.66,PL03,2025-07-03,
45000000055,00003,M100443,50,118.74,5937.0,PL04,2025-07-28,
45000000056,00001,M100399,49,11.98,587.02,PL02,2025-07-09,
45000000056,00002,M100319,50,14.17,708.5,PL04,2025-06-19,
45000000057,00001,M100485,41,31.72,1300.52,PL03,2025-04-29,
45000000057,00002,M100243,54,38.63,2086.02,PL04,2025-04-30,
45000000058,00001,M100051,45,82.64,3718.8,PL02,2025-07-30,
45000000059,00001,M100353,56,21.86,1224.16,PL02,2025-07-01,
45000000060,00001,M100025,36,153.67,5532.12,PL03,2025-06-14,
45000000060,00002,M100378,52,90.24,4692.48,PL02,2025-06-19,
45000000060,00003,M100446,44,26.36,1159.84,PL03,2025-06-10,
45000000061,00001,M100491,45,4.93,221.85,PL02,2025-03-05,
45000000062,00001,M100017,57,70.32,4008.24,PL02,2025-04-20,
45000000062,00002,M100058,54,50.48,2725.92,PL04,2025-04-24,
45000000062,00003,M100139,51,28.08,1432.08,PL01,2025-05-08,
45000000063,00001,M100042,53,23.57,1249.21,PL02,2025-05-29,
45000000063,00002,M100284,36,15.23,548.28,PL03,2025-06-01,
45000000064,00001,M100120,50,72.04,3602.0,PL01,2025-03-17,
45000000064,00002,M100226,56,54.83,3070.48,PL04,2025-02-06,
45000000064,00003,M100251,43,24.1,1036.3,PL03,2025-03-14,
45000000065,00001,M100202,43,194.73,8373.39,PL01,2025-02-18,
45000000065,00002,M100493,64,74.64,4776.96,PL03,2025-03-16,
45000000065,00003,M100115,55,16.39,901.45,PL03,2025-02-04,
45000000066,00001,M100157,48,385.08,18483.84,PL02,2025-05-06,
45000000066,00002,M100432,49,100.08,4903.92,PL01,2025-04-25,
45000000066,00003,M100490,43,218.82,9409.26,PL04,2025-05-03,
45000000067,00001,M100135,63,9.07,571.41,PL04,2025-03-29,
45000000068,00001,M100495,55,22.42,1233.1,PL01,2025-05-12,
45000000068,00002,M100340,60,27.76,1665.6,PL03,2025-06-07,
45000000069,00001,M100123,43,107.8,4635.4,PL04,2025-01-31,
45000000069,00002,M100295,54,54.68,2952.72,PL03,2025-03-10,
45000000069,00003,M100294,50,131.27,6563.5,PL03,2025-03-01,
45000000069,00004,M100017,42,12.97,544.74,PL03,2025-03-04,
45000000070,00001,M100279,47,42.65,2004.55,PL01,2025-04-24,
45000000070,00002,M100075,49,101.85,4990.65,PL01,2025-03-08,
45000000071,00001,M100128,50,34.66,1733.0,PL03,2025-05-02,
45000000071,00002,M100412,53,41.95,2223.35,PL04,2025-03-26,
45000000071,00003,M100358,51,30.28,1544.28,PL03,2025-05-05,
45000000072,00001,M100316,51,116.14,5923.14,PL04,2025-06-01,
45000000073,00001,M100436,62,23.16,1435.92,PL02,2025-05-08,
45000000073,00002,M100115,56,32.42,1815.52,PL01,2025-06-04,
45000000074,00001,M100237,47,40.19,1888.93,PL02,2025-05-27,
45000000075,00001,M100028,54,43.8,2365.2,PL02,2025-06-05,
45000000075,00002,M100147,48,16.09,772.32,PL04,2025-07-02,
45000000075,00003,M100255,52,14.09,732.68,PL03,2025-05-30,
45000000075,00004,M100214,41,19.75,809.75,PL03,2025-07-11,
45000000076,00001,M100015,52,31.65,1645.8,PL02,2025-04-28,
45000000076,00002,M100388,62,58.93,3653.66,PL04,2025-04-30,
45000000077,00001,M100247,44,683.45,30071.8,PL04,2025-06-02,
45000000077,00002,M100460,59,4.24,250.16,PL04,2025-06-13,
45000000077,00003,M100317,56,31.82,1781.92,PL04,2025-06-23,
45000000078,00001,M100495,43,52.64,2263.52,PL03,2025-02-18,
45000000078,00002,M100176,47,2.22,104.34,PL04,2025-03-06,
45000000078,00003,M100217,52,33.3,1731.6,PL02,2025-02-20,
45000000079,00001,M100248,41,34.72,1423.52,PL01,2025-04-17,
45000000079,00002,M100486,42,30.51,1281.42,PL04,2025-05-17,
45000000080,00001,M100266,51,30.97,1579.47,PL03,2025-07-29,
45000000080,00002,M100475,47,19.87,933.89,PL01,2025-07-15,
45000000080,00003,M100300,64,24.87,1591.68,PL01,2025-06-09,
45000000080,00004,M100193,50,240.3,12015.0,PL02,2025-06-10,
45000000080,00005,M100066,56,110.53,6189.68,PL02,2025-07-11,
45000000081,00001,M100326,48,36.8,1766.4,PL01,2025-01-18,
45000000081,00002,M100094,50,344.98,17249.0,PL03,2025-02-17,
45000000081,00003,M100319,53,86.34,4576.02,PL04,2025-03-05,
45000000081,00004,M100111,70,5.73,401.1,PL01,2025-02-09,
45000000081,00005,M100326,52,10.67,554.84,PL02,2025-02-12,
45000000082,00001,M100044,51,18.41,938.91,PL04,2025-06-04,
45000000083,00001,M100028,45,17.25,776.25,PL01,2025-06-07,
45000000083,00002,M100258,60,27.61,1656.6,PL01,2025-06-21,
45000000083,00003,M100255,58,201.42,11682.36,PL02,2025-07-10,
45000000083,00004,M100039,39,235.78,9195.42,PL01,2025-06-27,
45000000083,00005,M100371,45,4.87,219.15,PL04,2025-06-26,
45000000084,00001,M100417,44,26.21,1153.24,PL03,2025-02-27,
45000000084,00002,M100331,51,30.63,1562.13,PL01,2025-03-22,
45000000084,00003,M100417,63,9.91,624.33,PL04,2025-02-22,
45000000085,00001,M100385,36,11.57,416.52,PL02,2025-06-13,
45000000085,00002,M100181,48,5.15,247.2,PL01,2025-06-25,
45000000085,00003,M100209,50,15.76,788.0,PL02,2025-07-04,
45000000086,00001,M100041,34,251.42,8548.28,PL03,2025-05-10,
45000000086,00002,M100169,39,324.95,12673.05,PL04,2025-06-07,
45000000087,00001,M100148,51,34.03,1735.53,PL04,2025-01-16,
45000000087,00002,M100107,72,30.07,2165.04,PL03,2025-01-13,
45000000087,00003,M100172,47,11.02,517.94,PL03,2025-03-05,
45000000087,00004,M100061,52,35.12,1826.24,PL02,2025-02-28,
45000000088,00001,M100134,40,43.23,1729.2,PL01,2025-05-06,
45000000088,00002,M100245,49,68.9,3376.1,PL03,2025-05-18,
45000000088,00003,M100155,50,76.02,3801.0,PL03,2025-05-04,
45000000088,00004,M100308,47,150.08,7053.76,PL02,2025-04-18,
45000000089,00001,M100309,46,6.82,313.72,PL04,2025-06-25,
45000000090,00001,M100056,64,375.63,24040.32,PL03,2025-08-16,
45000000090,00002,M100210,48,40.77,1956.96,PL01,2025-08-16,
45000000091,00001,M100387,35,99.47,3481.45,PL04,2025-03-13,
45000000091,00002,M100080,56,91.79,5140.24,PL04,2025-01-18,
45000000092,00001,M100012,43,6.66,286.38,PL03,2025-06-12,
45000000092,00002,M100359,56,18.01,1008.56,PL04,2025-07-03,
45000000093,00001,M100115,51,11.38,580.38,PL03,2025-07-17,
45000000093,00002,M100347,51,4.64,236.64,PL01,2025-06-25,
45000000094,00001,M100383,54,123.26,6656.04,PL03,2025-03-27,
45000000095,00001,M100124,51,83.8,4273.8,PL02,2025-05-14,
45000000096,00001,M100175,47,22.39,1052.33,PL03,2025-04-17,
45000000096,00002,M100106,52,61.66,3206.32,PL01,2025-05-14,
45000000097,00001,M100056,57,73.13,4168.41,PL04,2025-01-29,
45000000097,00002,M100230,48,334.5,16056.0,PL01,2025-02-19,
45000000098,00001,M100072,56,14.21,795.76,PL02,2025-06-20,
45000000099,00001,M100399,48,295.18,14168.64,PL01,2025-06-05,
45000000099,00002,M100221,52,1175.43,61122.36,PL04,2025-04-08,
45000000099,00003,M100151,38,4.45,169.1,PL02,2025-05-27,
45000000099,00004,M100241,64,45.41,2906.24,PL03,2025-04-22,
45000000100,00001,M100094,60,14.53,871.8,PL04,2025-04-24,
45000000100,00002,M100318,54,338.63,18286.02,PL03,2025-04-18,
45000000100,00003,M100430,46,20.52,943.92,PL03,2025-04-26,
45000000101,00001,M100278,50,6.47,323.5,PL02,2025-07-29,
45000000101,00002,M100120,43,24.81,1066.83,PL03,2025-07-01,
45000000102,00001,M100234,60,24.59,1475.4,PL04,2025-06-16,
45000000102,00002,M100212,48,52.75,2532.0,PL04,2025-05-15,
45000000102,00003,M100109,49,41.24,2020.76,PL02,2025-05-27,
45000000103,00001,M100449,46,1.45,66.7,PL04,2025-03-19,
45000000104,00001,M100147,50,62.4,3120.0,PL03,2025-04-21,
45000000105,00001,M100013,47,37.02,1739.94,PL02,2025-05-11,
45000000105,00002,M100377,58,48.61,2819.38,PL02,2025-05-22,
45000000105,00003,M100418,35,16.77,586.95,PL01,2025-05-12,
45000000105,00004,M100079,61,125.94,7682.34,PL04,2025-05-30,
45000000105,00005,M100307,56,137.73,7712.88,PL03,2025-06-30,
45000000105,00006,M100335,50,6.32,316.0,PL01,2025-05-14,
45000000105,00007,M100158,51,81.8,4171.8,PL02,2025-06-03,
45000000106,00001,M100284,58,120.91,7012.78,PL03,2025-03-23,
45000000107,00001,M100370,44,164.64,7244.16,PL04,2025-05-10,
45000000108,00001,M100012,48,157.35,7552.8,PL04,2025-03-04,
45000000109,00001,M100415,43,65.63,2822.09,PL02,2025-05-15,
45000000110,00001,M100282,52,24.4,1268.8,PL04,2025-03-29,
45000000110,00002,M100358,56,16.57,927.92,PL04,2025-03-05,
45000000111,00001,M100110,42,32.54,1366.68,PL01,2025-07-05,
45000000112,00001,M100138,37,7.06,261.22,PL01,2025-06-09,
45000000112,00002,M100240,61,12.61,769.21,PL02,2025-06-23,
45000000112,00003,M100369,46,3.25,149.5,PL01,2025-07-20,
45000000113,00001,M100067,62,40.91,2536.42,PL02,2025-05-20,
45000000113,00002,M100205,47,12.46,585.62,PL03,2025-06-13,
45000000113,00003,M100070,46,15.61,718.06,PL01,2025-06-13,
45000000113,00004,M100054,59,73.51,4337.09,PL04,2025-06-04,
45000000113,00005,M100221,51,28.8,1468.8,PL03,2025-06-17,
45000000114,00001,M100137,52,12.7,660.4,PL01,2025-03-16,
45000000114,00002,M100296,51,94.52,4820.52,PL04,2025-02-11,
45000000114,00003,M100332,45,55.74,2508.3,PL02,2025-03-14,
45000000115,00001,M100042,58,24.53,1422.74,PL02,2025-02-11,
45000000115,00002,M100424,59,18.6,1097.4,PL03,2025-03-17,
45000000115,00003,M100434,54,12.17,657.18,PL01,2025-03-23,
45000000116,00001,M100426,44,31.8,1399.2,PL03,2025-03-27,
45000000116,00002,M100059,43,3.97,170.71,PL02,2025-03-25,
45000000116,00003,M100104,66,14.56,960.96,PL04,2025-02-23,
45000000117,00001,M100081,39,15.97,622.83,PL04,2025-08-01,
45000000117,00002,M100030,59,86.74,5117.66,PL01,2025-07-31,
45000000117,00003,M100473,55,39.76,2186.8,PL02,2025-06-29,
45000000117,00004,M100252,54,40.11,2165.94,PL02,2025-07-01,
45000000118,00001,M100161,66,50.27,3317.82,PL01,2025-06-24,
45000000118,00002,M100486,59,6.58,388.22,PL04,2025-06-18,
45000000118,00003,M100091,51,170.37,8688.87,PL03,2025-06-28,
45000000119,00001,M100076,67,165.96,11119.32,PL02,2025-03-29,
45000000120,00001,M100452,44,17.68,777.92,PL01,2025-03-26,
45000000120,00002,M100254,46,49.13,2259.98,PL02,2025-02-20,
45000000121,00001,M100108,45,7.87,354.15,PL01,2025-06-01,
45000000121,00002,M100435,57,8.39,478.23,PL04,2025-06-10,
45000000121,00003,M100127,51,8.68,442.68,PL03,2025-06-21,
45000000121,00004,M100261,38,7.18,272.84,PL02,2025-05-22,
45000000122,00001,M100245,52,32.9,1710.8,PL03,2025-01-31,
45000000122,00002,M100232,49,3.91,191.59,PL04,2025-01-07,
45000000123,00001,M100126,54,50.02,2701.08,PL04,2025-05-08,
45000000123,00002,M100248,46,145.06,6672.76,PL01,2025-04-16,
45000000124,00001,M100228,54,63.11,3407.94,PL01,2025-06-02,
45000000124,00002,M100287,43,67.31,2894.33,PL03,2025-06-02,
45000000124,00003,M100425,57,18.32,1044.24,PL03,2025-06-30,
45000000125,00001,M100406,50,78.24,3912.0,PL04,2025-03-27,
45000000125,00002,M100309,44,14.08,619.52,PL03,2025-05-08,
45000000126,00001,M100400,64,35.18,2251.52,PL01,2025-05-10,
45000000126,00002,M100319,49,42.49,2082.01,PL01,2025-04-29,
45000000126,00003,M100034,55,44.54,2449.7,PL01,2025-06-10,
45000000127,00001,M100025,42,2.95,123.9,PL03,2025-01-18,
45000000127,00002,M100296,50,8.97,448.5,PL03,2025-02-04,
45000000127,00003,M100256,47,59.8,2810.6,PL03,2025-03-04,
45000000128,00001,M100218,58,149.95,8697.1,PL01,2025-07-20,
45000000129,00001,M100415,43,155.67,6693.81,PL02,2025-05-01,
45000000130,00001,M100401,52,108.15,5623.8,PL04,2025-05-07,
45000000130,00002,M100409,47,10.44,490.68,PL03,2025-05-03,
45000000131,00001,M100349,48,109.92,5276.16,PL01,2025-05-10,
45000000132,00001,M100221,55,306.14,16837.7,PL01,2025-05-23,
45000000132,00002,M100176,38,697.56,26507.28,PL02,2025-05-01,
45000000133,00001,M100290,57,15.47,881.79,PL03,2025-05-06,
45000000134,00001,M100313,55,69.47,3820.85,PL03,2025-04-25,
45000000134,00002,M100156,57,19.66,1120.62,PL03,2025-03-24,
45000000134,00003,M100225,47,13.1,615.7,PL03,2025-03-22,
45000000135,00001,M100325,60,20.71,1242.6,PL04,2025-01-22,
45000000135,00002,M100309,53,21.47,1137.91,PL01,2025-01-25,
45000000135,00003,M100344,59,15.13,892.67,PL01,2025-01-19,
45000000136,00001,M100058,47,10.12,475.64,PL02,2025-02-23,
45000000136,00002,M100309,56,85.75,4802.0,PL04,2025-04-11,
45000000137,00001,M100212,46,17.84,820.64,PL01,2025-03-26,
45000000137,00002,M100328,54,27.1,1463.4,PL03,2025-04-10,
45000000137,00003,M100231,49,181.7,8903.3,PL04,2025-05-09,
45000000137,00004,M100163,36,45.89,1652.04,PL02,2025-04-25,
45000000137,00005,M100039,58,12.96,751.68,PL02,2025-03-24,
45000000138,00001,M100469,56,5.29,296.24,PL02,2025-04-18,
45000000138,00002,M100048,59,53.57,3160.63,PL04,2025-05-11,
45000000138,00003,M100277,41,16.0,656.0,PL03,2025-06-02,
45000000139,00001,M100225,64,9.1,582.4,PL03,2025-06-30,
45000000139,00002,M100216,50,55.48,2774.0,PL03,2025-06-01,
45000000139,00003,M100076,53,10.58,560.74,PL01,2025-07-01,
45000000140,00001,M100437,40,1.68,67.2,PL04,2025-04-11,
45000000140,00002,M100088,52,122.33,6361.16,PL04,2025-05-03,
45000000140,00003,M100430,59,47.13,2780.67,PL01,2025-04-17,
45000000141,00001,M100145,36,20.56,740.16,PL03,2025-07-02,
45000000142,00001,M100079,53,28.34,1502.02,PL02,2025-06-21,
45000000142,00002,M100215,53,14.88,788.64,PL01,2025-07-09,
45000000143,00001,M100496,51,119.81,6110.31,PL01,2025-08-20,
45000000144,00001,M100299,59,39.45,2327.55,PL02,2025-03-05,
45000000145,00001,M100208,48,34.32,1647.36,PL04,2025-06-19,
45000000145,00002,M100277,48,18.02,864.96,PL01,2025-05-29,
45000000146,00001,M100100,50,17.18,859.0,PL04,2025-06-12,
45000000146,00002,M100232,41,13.4,549.4,PL04,2025-05-30,
45000000147,00001,M100454,42,67.45,2832.9,PL04,2025-06-25,
45000000147,00002,M100299,64,2.94,188.16,PL03,2025-06-13,
45000000147,00003,M100017,49,26.65,1305.85,PL02,2025-05-31,
45000000148,00001,M100391,50,88.84,4442.0,PL02,2025-02-21,
45000000148,00002,M100306,37,6.41,237.17,PL02,2025-02-22,
45000000149,00001,M100319,56,22.03,1233.68,PL01,2025-06-23,
45000000149,00002,M100497,55,107.06,5888.3,PL04,2025-05-30,
45000000149,00003,M100317,37,19.48,720.76,PL03,2025-05-17,
45000000150,00001,M100476,44,89.07,3919.08,PL02,2025-07-11,
45000000150,00002,M100453,48,63.53,3049.44,PL03,2025-07-28,
45000000150,00003,M100058,53,9.28,491.84,PL01,2025-07-03,
45000000150,00004,M100170,49,87.07,4266.43,PL02,2025-06-25,
45000000151,00001,M100399,53,9.2,487.6,PL02,2025-03-26,
45000000151,00002,M100352,45,15.72,707.4,PL01,2025-04-17,
45000000152,00001,M100106,38,76.49,2906.62,PL02,2025-03-17,
45000000152,00002,M100122,52,37.17,1932.84,PL03,2025-03-20,
45000000152,00003,M100200,46,9.44,434.24,PL02,2025-02-06,
45000000153,00001,M100476,59,18.22,1074.98,PL01,2025-02-28,
45000000153,00002,M100410,67,4.92,329.64,PL02,2025-03-11,
45000000153,00003,M100164,62,7.95,492.9,PL02,2025-02-21,
45000000154,00001,M100011,40,64.85,2594.0,PL01,2025-01-10,
45000000154,00002,M100247,44,16.95,745.8,PL03,2025-02-19,
45000000155,00001,M100080,52,82.96,4313.92,PL03,2025-07-05,
45000000155,00002,M100184,37,44.46,1645.02,PL01,2025-07-30,
45000000155,00003,M100040,41,110.46,4528.86,PL03,2025-07-31,
45000000156,00001,M100146,55,90.32,4967.6,PL02,2025-05-05,
45000000156,00002,M100178,56,6.87,384.72,PL03,2025-04-29,
45000000156,00003,M100416,49,11.13,545.37,PL01,2025-05-19,
45000000156,00004,M100073,49,67.74,3319.26,PL01,2025-05-31,
45000000157,00001,M100365,54,56.73,3063.42,PL03,2025-07-09,
45000000158,00001,M100331,58,14.91,864.78,PL03,2025-04-12,
45000000158,00002,M100289,39,9.46,368.94,PL03,2025-04-02,
45000000159,00001,M100276,32,342.87,10971.84,PL01,2025-07-02,
45000000159,00002,M100072,47,11.86,557.42,PL04,2025-06-27,
45000000160,00001,M100104,62,52.05,3227.1,PL03,2025-03-03,
45000000161,00001,M100064,54,12.76,689.04,PL02,2025-07-12,
45000000161,00002,M100126,49,19.82,971.18,PL04,2025-06-04,
45000000162,00001,M100366,40,12.83,513.2,PL03,2025-03-23,
45000000162,00002,M100155,46,30.26,1391.96,PL02,2025-04-12,
45000000163,00001,M100139,51,13.14,670.14,PL04,2025-02-28,
45000000163,00002,M100159,52,10.78,560.56,PL04,2025-03-05,
45000000163,00003,M100259,54,4.1,221.4,PL04,2025-03-14,
45000000164,00001,M100044,53,206.12,10924.36,PL02,2025-06-15,
45000000164,00002,M100418,48,35.17,1688.16,PL04,2025-04-24,
45000000164,00003,M100188,47,25.78,1211.66,PL04,2025-04-30,
45000000165,00001,M100226,50,8.53,426.5,PL04,2025-01-30,
45000000165,00002,M100445,49,30.84,1511.16,PL02,2025-01-31,
45000000166,00001,M100159,55,23.87,1312.85,PL04,2025-07-20,
45000000167,00001,M100274,40,67.99,2719.6,PL02,2025-02-23,
45000000167,00002,M100134,50,53.97,2698.5,PL03,2025-01-14,
45000000167,00003,M100498,36,10.0,360.0,PL03,2025-01-23,
45000000167,00004,M100484,50,10.33,516.5,PL02,2025-03-06,
45000000167,00005,M100020,37,24.87,920.19,PL04,2025-02-25,
45000000168,00001,M100261,58,3.66,212.28,PL02,2025-03-02,
45000000168,00002,M100329,50,32.35,1617.5,PL02,2025-03-02,
45000000168,00003,M100006,52,9.73,505.96,PL04,2025-03-13,
45000000169,00001,M100388,55,30.5,1677.5,PL04,2025-04-29,
45000000170,00001,M100027,42,145.77,6122.34,PL04,2025-06-10,
45000000170,00002,M100390,45,76.14,3426.3,PL02,2025-07-20,
45000000170,00003,M100180,48,41.69,2001.12,PL01,2025-07-12,
45000000170,00004,M100428,47,408.29,19189.63,PL01,2025-06-28,
