EBELN,EBELP,po_line_id,MATNR,order_qty,line_netwr,vendor_id,vendor_name,plant,purchase_org,scheduled_date,gr_date,gr_qty,created_date,currency
45000000009,00002,45000000009_00002,M100465,70,76.35,100056,Atlas Engineering Mexico,PL02,P300,2025-03-13,2025-04-06,70.0,1741219200000000000,INR
45000000009,00003,45000000009_00003,M100256,49,231.23,100056,Atlas Engineering Mexico,PL04,P300,2025-03-07,2025-04-01,49.0,1741219200000000000,INR
45000000009,00004,45000000009_00004,M100014,74,30.56,100056,Atlas Engineering Mexico,PL04,P300,2025-03-27,2025-04-02,74.0,1741219200000000000,INR
45000000010,00001,45000000010_00001,M100371,54,34.53,100116,Bluewave Automation China,PL02,P300,2025-05-25,2025-06-05,54.0,1743552000000000000,USD
45000000011,00001,45000000011_00001,M100270,42,12.77,100055,Pioneer Logistics Japan,PL03,P200,2025-03-27,2025-04-16,42.0,1738368000000000000,USD
45000000011,00002,45000000011_00002,M100344,56,9.76,100055,Pioneer Logistics Japan,PL02,P200,2025-03-05,2025-03-13,56.0,1738368000000000000,USD
45000000012,00001,45000000012_00001,M100029,50,42.56,100087,Advance Supplies Brazil,PL04,P200,2025-05-03,2025-06-02,50.0,1745366400000000000,INR
45000000013,00001,45000000013_00001,M100245,61,24.6,100059,Harbor Parts Germany,PL03,P200,2025-07-07,2025-07-12,61.0,1750982400000000000,EUR
45000000014,00001,45000000014_00001,M100458,61,119.26,100183,Pioneer Logistics India,PL01,P200,2025-03-02,2025-03-28,61.0,1737504000000000000,INR
45000000015,00001,45000000015_00001,M100484,63,79.31,100094,Atlas Resources India,PL03,P300,2025-06-24,2025-07-13,63.0,1748995200000000000,USD
45000000015,00002,45000000015_00002,M100013,52,46.45,100094,Atlas Resources India,PL01,P300,2025-06-22,,,1748995200000000000,USD
45000000015,00003,45000000015_00003,M100432,42,387.94,100094,Atlas Resources India,PL04,P300,2025-07-15,,,1748995200000000000,USD
45000000016,00001,45000000016_00001,M100410,41,2.0,100140,Continental Machinery USA,PL02,P200,2025-02-28,,,1737936000000000000,EUR
45000000017,00001,45000000017_00001,M100222,64,21.06,100111,Zenith Technologies Germany,PL03,P300,2025-05-05,2025-05-17,64.0,1742428800000000000,EUR
45000000018,00001,45000000018_00001,M100377,49,34.95,100171,Continental Manufacturing UK,PL04,P200,2025-02-16,2025-03-10,49.0,1739318400000000000,USD
45000000018,00002,45000000018_00002,M100043,48,128.37,100171,Continental Manufacturing UK,PL03,P200,2025-02-22,2025-03-07,48.0,1739318400000000000,USD
45000000018,00003,45000000018_00003,M100456,39,372.51,100171,Continental Manufacturing UK,PL02,P200,2025-04-08,2025-04-17,39.0,1739318400000000000,USD
45000000019,00001,45000000019_00001,M100029,44,135.28,100162,Crest Automation Germany,PL02,P200,2025-02-25,,,1736553600000000000,EUR
45000000019,00002,45000000019_00002,M100093,60,18.04,100162,Crest Automation Germany,PL01,P200,2025-03-12,2025-03-13,60.0,1736553600000000000,EUR
45000000019,00003,45000000019_00003,M100402,55,7.09,100162,Crest Automation Germany,PL02,P200,2025-03-07,2025-03-08,55.0,1736553600000000000,EUR
45000000020,00001,45000000020_00001,M100140,53,50.63,100063,Continental Logistics Poland,PL04,P100,2025-04-28,2025-05-08,53.0,1741737600000000000,INR
45000000020,00002,45000000020_00002,M100157,57,116.64,100063,Continental Logistics Poland,PL04,P100,2025-04-01,2025-04-29,57.0,1741737600000000000,INR
45000000020,00003,45000000020_00003,M100453,53,84.05,100063,Continental Logistics Poland,PL02,P100,2025-03-14,,,1741737600000000000,INR
45000000021,00001,45000000021_00001,M100034,47,11.68,100028,Atlas Engineering Italy,PL04,P200,2025-07-05,2025-07-04,47.0,1749772800000000000,EUR
45000000021,00002,45000000021_00002,M100121,45,4.85,100028,Atlas Engineering Italy,PL04,P200,2025-07-27,2025-08-17,45.0,1749772800000000000,EUR
45000000022,00001,45000000022_00001,M100463,53,18.73,100072,Orion Automation Germany,PL04,P100,2025-07-16,2025-07-21,53.0,1750636800000000000,INR
45000000022,00002,45000000022_00002,M100484,57,471.97,100072,Orion Automation Germany,PL04,P100,2025-07-19,2025-07-25,57.0,1750636800000000000,INR
45000000023,00001,45000000023_00001,M100140,55,14.81,100051,Advance Supplies Canada,PL01,P100,2025-07-27,2025-07-26,55.0,1750636800000000000,INR
45000000024,00001,45000000024_00001,M100085,59,18.69,100089,Everest Engineering China,PL03,P200,2025-03-21,2025-03-18,59.0,1740873600000000000,USD
45000000024,00002,45000000024_00002,M100059,40,77.76,100089,Everest Engineering China,PL02,P200,2025-04-16,2025-05-16,40.0,1740873600000000000,USD
45000000025,00001,45000000025_00001,M100400,50,5.69,100126,Summit Enterprises Italy,PL04,P300,2025-06-02,2025-06-17,50.0,1748217600000000000,INR
45000000025,00002,45000000025_00002,M100455,57,183.47,100126,Summit Enterprises Italy,PL02,P300,2025-06-16,2025-06-27,57.0,1748217600000000000,INR
45000000025,00003,45000000025_00003,M100025,56,108.78,100126,Summit Enterprises Italy,PL01,P300,2025-07-20,2025-08-17,56.0,1748217600000000000,INR
45000000026,00001,45000000026_00001,M100410,54,14.5,100029,Orion Supplies Canada,PL03,P200,2025-05-26,2025-06-14,54.0,1745625600000000000,USD
45000000027,00001,45000000027_00001,M100063,50,79.94,100088,Everest Systems China,PL02,P300,2025-07-03,2025-07-11,50.0,1748304000000000000,USD
45000000028,00001,45000000028_00001,M100408,51,2.66,100031,TruLine Systems Poland,PL02,P200,2025-04-20,2025-05-20,51.0,1742601600000000000,INR
45000000028,00002,45000000028_00002,M100478,58,33.2,100031,TruLine Systems Poland,PL04,P200,2025-04-10,2025-04-26,58.0,1742601600000000000,INR
45000000028,00003,45000000028_00003,M100316,47,104.15,100031,TruLine Systems Poland,PL02,P200,2025-04-05,,,1742601600000000000,INR
45000000028,00004,45000000028_00004,M100187,58,4.51,100031,TruLine Systems Poland,PL02,P200,2025-05-13,2025-05-28,58.0,1742601600000000000,INR
45000000029,00001,45000000029_00001,M100427,47,58.6,100180,Prime Parts Mexico,PL02,P100,2025-02-24,2025-02-25,47.0,1736208000000000000,USD
45000000029,00002,45000000029_00002,M100016,58,47.9,100180,Prime Parts Mexico,PL01,P100,2025-01-31,2025-02-01,58.0,1736208000000000000,USD
45000000029,00003,45000000029_00003,M100178,49,16.41,100180,Prime Parts Mexico,PL01,P100,2025-02-20,2025-02-22,49.0,1736208000000000000,USD
45000000030,00001,45000000030_00001,M100405,47,45.73,100183,Pioneer Logistics India,PL02,P100,2025-05-05,2025-05-24,47.0,1744243200000000000,USD
45000000031,00001,45000000031_00001,M100335,41,53.01,100073,Apex Solutions Italy,PL04,P100,2025-08-13,2025-08-15,41.0,1751241600000000000,EUR
45000000031,00002,45000000031_00002,M100338,57,12.05,100073,Apex Solutions Italy,PL02,P100,2025-08-29,,,1751241600000000000,EUR
45000000032,00001,45000000032_00001,M100379,45,7.66,100033,Global Services UK,PL01,P100,2025-07-04,2025-07-26,45.0,1750982400000000000,INR
45000000032,00002,45000000032_00002,M100240,62,12.35,100033,Global Services UK,PL03,P100,2025-07-28,2025-08-19,62.0,1750982400000000000,INR
45000000033,00001,45000000033_00001,M100051,59,40.43,100141,Global Parts Japan,PL02,P100,2025-01-23,2025-01-23,59.0,1737244800000000000,EUR
45000000033,00002,45000000033_00002,M100294,57,59.2,100141,Global Parts Japan,PL01,P100,2025-02-21,2025-02-18,57.0,1737244800000000000,EUR
45000000033,00003,45000000033_00003,M100292,49,49.7,100141,Global Parts Japan,PL03,P100,2025-02-26,,,1737244800000000000,EUR
45000000034,00001,45000000034_00001,M100005,55,9.44,100171,Continental Manufacturing UK,PL04,P200,2025-02-02,,,1737590400000000000,EUR
45000000034,00002,45000000034_00002,M100357,53,8.0,100171,Continental Manufacturing UK,PL04,P200,2025-02-08,2025-02-07,53.0,1737590400000000000,EUR
45000000035,00001,45000000035_00001,M100248,44,50.7,100004,TruLine Solutions Sweden,PL01,P300,2025-01-25,2025-01-23,44.0,1737072000000000000,USD
45000000035,00002,45000000035_00002,M100260,48,80.63,100004,TruLine Solutions Sweden,PL02,P300,2025-02-12,2025-03-01,48.0,1737072000000000000,USD
45000000035,00003,45000000035_00003,M100230,48,35.85,100004,TruLine Solutions Sweden,PL04,P300,2025-02-06,2025-02-27,48.0,1737072000000000000,USD
45000000035,00004,45000000035_00004,M100403,63,31.35,100004,TruLine Solutions Sweden,PL02,P300,2025-02-28,2025-03-10,63.0,1737072000000000000,USD
45000000035,00005,45000000035_00005,M100193,43,15.33,100004,TruLine Solutions Sweden,PL04,P300,2025-03-08,2025-03-08,43.0,1737072000000000000,USD
45000000036,00001,45000000036_00001,M100184,52,120.62,100017,Everest Engineering China,PL01,P300,2025-04-01,,,1739145600000000000,EUR
45000000036,00002,45000000036_00002,M100079,51,15.02,100017,Everest Engineering China,PL04,P300,2025-04-07,2025-05-05,51.0,1739145600000000000,EUR
45000000036,00003,45000000036_00003,M100402,46,7.6,100017,Everest Engineering China,PL04,P300,2025-02-28,2025-03-27,46.0,1739145600000000000,EUR
45000000036,00004,45000000036_00004,M100095,52,78.87,100017,Everest Engineering China,PL04,P300,2025-03-06,2025-03-10,52.0,1739145600000000000,EUR
45000000036,00005,45000000036_00005,M100199,53,41.26,100017,Everest Engineering China,PL01,P300,2025-02-18,2025-03-04,53.0,1739145600000000000,EUR
45000000036,00006,45000000036_00006,M100385,51,44.2,100017,Everest Engineering China,PL01,P300,2025-02-16,2025-03-10,51.0,1739145600000000000,EUR
45000000037,00001,45000000037_00001,M100157,47,41.06,100029,Orion Supplies Canada,PL01,P300,2025-03-18,2025-04-09,47.0,1739491200000000000,INR
45000000037,00002,45000000037_00002,M100268,53,4.29,100029,Orion Supplies Canada,PL02,P300,2025-02-16,,,1739491200000000000,INR
45000000038,00001,45000000038_00001,M100142,45,30.25,100011,Apex Supplies Italy,PL04,P100,2025-03-11,2025-03-18,45.0,1740096000000000000,USD
45000000039,00001,45000000039_00001,M100331,48,59.1,100060,Global Systems Sweden,PL01,P300,2025-05-24,2025-06-20,48.0,1743638400000000000,USD
45000000039,00002,45000000039_00002,M100187,52,30.58,100060,Global Systems Sweden,PL02,P300,2025-04-28,2025-05-12,52.0,1743638400000000000,USD
45000000040,00001,45000000040_00001,M100089,33,7.65,100040,Keystone Machinery Sweden,PL04,P300,2025-07-03,2025-07-03,33.0,1747872000000000000,INR
45000000041,00001,45000000041_00001,M100343,58,64.69,100159,Summit Materials UK,PL04,P300,2025-04-10,2025-04-24,58.0,1742515200000000000,EUR
45000000042,00001,45000000042_00001,M100060,42,9.89,100162,Crest Automation Germany,PL02,P200,2025-05-22,2025-06-12,42.0,1747267200000000000,EUR
45000000043,00001,45000000043_00001,M100243,42,109.93,100178,Everest Manufacturing Mexico,PL03,P300,2025-02-07,2025-02-28,42.0,1738454400000000000,INR
45000000044,00001,45000000044_00001,M100333,38,63.13,100125,Summit Logistics Brazil,PL02,P300,2025-05-26,2025-06-15,38.0,1745971200000000000,USD
45000000044,00002,45000000044_00002,M100454,53,40.09,100125,Summit Logistics Brazil,PL01,P300,2025-05-26,,,1745971200000000000,USD
45000000044,00003,45000000044_00003,M100198,47,25.23,100125,Summit Logistics Brazil,PL04,P300,2025-05-05,2025-05-17,47.0,1745971200000000000,USD
45000000044,00004,45000000044_00004,M100225,44,17.52,100125,Summit Logistics Brazil,PL01,P300,2025-06-18,2025-07-18,44.0,1745971200000000000,USD
45000000045,00001,45000000045_00001,M100482,52,19.32,100001,Summit Industries Italy,PL02,P300,2025-07-04,2025-07-01,52.0,1747872000000000000,INR
45000000045,00002,45000000045_00002,M100018,70,56.26,100001,Summit Industries Italy,PL01,P300,2025-06-03,2025-06-02,70.0,1747872000000000000,INR
45000000045,00003,45000000045_00003,M100345,59,13.31,100001,Summit Industries Italy,PL02,P300,2025-05-23,2025-06-05,59.0,1747872000000000000,INR
45000000046,00001,45000000046_00001,M100376,50,72.93,100158,Keystone Technologies India,PL04,P100,2025-06-12,2025-07-02,50.0,1745193600000000000,INR
45000000046,00002,45000000046_00002,M100124,61,238.55,100158,Keystone Technologies India,PL03,P100,2025-04-29,2025-04-28,61.0,1745193600000000000,INR
45000000047,00001,45000000047_00001,M100178,39,102.0,100200,Metro Systems Brazil,PL01,P100,2025-02-18,2025-03-04,39.0,1739059200000000000,INR
45000000047,00002,45000000047_00002,M100139,24,33.16,100200,Metro Systems Brazil,PL02,P100,2025-03-23,2025-04-07,24.0,1739059200000000000,INR
45000000047,00003,45000000047_00003,M100308,51,37.96,100200,Metro Systems Brazil,PL02,P100,2025-02-15,2025-02-13,51.0,1739059200000000000,INR
45000000047,00004,45000000047_00004,M100465,42,101.18,100200,Metro Systems Brazil,PL03,P100,2025-04-05,2025-04-24,42.0,1739059200000000000,INR
45000000047,00005,45000000047_00005,M100038,48,62.45,100200,Metro Systems Brazil,PL01,P100,2025-02-15,2025-02-22,48.0,1739059200000000000,INR
45000000048,00001,45000000048_00001,M100345,68,21.1,100135,Everest Engineering Italy,PL01,P300,2025-04-01,2025-04-05,68.0,1740614400000000000,USD
45000000049,00001,45000000049_00001,M100216,60,56.58,100129,Zenith Manufacturing Poland,PL03,P300,2025-03-30,2025-04-22,60.0,1741219200000000000,EUR
45000000049,00002,45000000049_00002,M100478,43,13.51,100129,Zenith Manufacturing Poland,PL02,P300,2025-04-03,2025-04-06,43.0,1741219200000000000,EUR
45000000049,00003,45000000049_00003,M100085,43,44.48,100129,Zenith Manufacturing Poland,PL01,P300,2025-03-22,2025-03-28,43.0,1741219200000000000,EUR
45000000050,00001,45000000050_00001,M100320,54,36.71,100135,Everest Engineering Italy,PL03,P200,2025-02-05,2025-02-06,54.0,1738454400000000000,EUR
45000000050,00002,45000000050_00002,M100120,49,4.64,100135,Everest Engineering Italy,PL03,P200,2025-03-17,2025-03-26,49.0,1738454400000000000,EUR
45000000050,00003,45000000050_00003,M100497,47,31.75,100135,Everest Engineering Italy,PL04,P200,2025-02-11,2025-02-13,47.0,1738454400000000000,EUR
45000000050,00004,45000000050_00004,M100167,52,44.11,100135,Everest Engineering Italy,PL04,P200,2025-03-19,2025-03-19,52.0,1738454400000000000,EUR
45000000051,00001,45000000051_00001,M100150,54,104.91,100095,Crest Technologies Canada,PL03,P300,2025-02-27,2025-03-04,54.0,1737676800000000000,INR
45000000051,00002,45000000051_00002,M100193,57,18.88,100095,Crest Technologies Canada,PL03,P300,2025-03-04,2025-03-21,57.0,1737676800000000000,INR
45000000051,00003,45000000051_00003,M100283,46,7.0,100095,Crest Technologies Canada,PL02,P300,2025-03-10,2025-03-31,46.0,1737676800000000000,INR
45000000052,00001,45000000052_00001,M100346,58,2.1,100014,Summit Solutions UK,PL01,P100,2025-07-11,2025-07-28,58.0,1748476800000000000,EUR
45000000052,00002,45000000052_00002,M100085,48,55.65,100014,Summit Solutions UK,PL01,P100,2025-06-14,2025-06-18,48.0,1748476800000000000,EUR
45000000053,00001,45000000053_00001,M100382,46,10.81,100166,Advance Solutions Poland,PL01,P300,2025-06-17,2025-06-27,46.0,1748995200000000000,INR
45000000053,00002,45000000053_00002,M100368,47,28.33,100166,Advance Solutions Poland,PL02,P300,2025-06-24,2025-07-20,47.0,1748995200000000000,INR
45000000054,00001,45000000054_00001,M100129,49,426.61,100175,Unity Manufacturing UK,PL02,P300,2025-01-30,,,1737417600000000000,EUR
45000000054,00002,45000000054_00002,M100075,58,81.33,100175,Unity Manufacturing UK,PL02,P300,2025-02-28,2025-03-08,58.0,1737417600000000000,EUR
45000000054,00003,45000000054_00003,M100086,45,21.75,100175,Unity Manufacturing UK,PL03,P300,2025-02-08,2025-02-10,45.0,1737417600000000000,EUR
45000000054,00004,45000000054_00004,M100157,60,19.45,100175,Unity Manufacturing UK,PL02,P300,2025-03-09,2025-04-02,60.0,1737417600000000000,EUR
45000000055,00001,45000000055_00001,M100459,48,34.93,100020,Keystone Manufacturing Italy,PL04,P300,2025-06-21,2025-06-26,48.0,1750032000000000000,USD
45000000055,00002,45000000055_00002,M100159,59,71.74,100020,Keystone Manufacturing Italy,PL03,P300,2025-07-03,,,1750032000000000000,USD
45000000055,00003,45000000055_00003,M100443,50,118.74,100020,Keystone Manufacturing Italy,PL04,P300,2025-07-28,2025-08-05,50.0,1750032000000000000,USD
45000000056,00001,45000000056_00001,M100399,49,11.98,100048,TruLine Industries Poland,PL02,P200,2025-07-09,2025-07-17,49.0,1749772800000000000,EUR
45000000056,00002,45000000056_00002,M100319,50,14.17,100048,TruLine Industries Poland,PL04,P200,2025-06-19,2025-06-25,50.0,1749772800000000000,EUR
45000000057,00001,45000000057_00001,M100485,41,31.72,100166,Advance Solutions Poland,PL03,P200,2025-04-29,2025-04-26,41.0,1742083200000000000,USD
45000000057,00002,45000000057_00002,M100243,54,38.63,100166,Advance Solutions Poland,PL04,P200,2025-04-30,2025-05-08,54.0,1742083200000000000,USD
45000000058,00001,45000000058_00001,M100051,45,82.64,100196,Sterling Machinery Mexico,PL02,P200,2025-07-30,2025-08-15,45.0,1750809600000000000,USD
45000000059,00001,45000000059_00001,M100353,56,21.86,100066,Advance Manufacturing Mexico,PL02,P100,2025-07-01,2025-07-07,56.0,1750896000000000000,USD
45000000060,00001,45000000060_00001,M100025,36,153.67,100165,TruLine Manufacturing Japan,PL03,P100,2025-06-14,2025-06-16,36.0,1746316800000000000,USD
45000000060,00002,45000000060_00002,M100378,52,90.24,100165,TruLine Manufacturing Japan,PL02,P100,2025-06-19,2025-06-30,52.0,1746316800000000000,USD
45000000060,00003,45000000060_00003,M100446,44,26.36,100165,TruLine Manufacturing Japan,PL03,P100,2025-06-10,2025-07-04,44.0,1746316800000000000,USD
45000000061,00001,45000000061_00001,M100491,45,4.93,100106,Orion Resources China,PL02,P300,2025-03-05,2025-03-15,45.0,1738800000000000000,USD
45000000062,00001,45000000062_00001,M100017,57,70.32,100145,Continental Systems USA,PL02,P100,2025-04-20,2025-04-19,57.0,1743292800000000000,USD
45000000062,00002,45000000062_00002,M100058,54,50.48,100145,Continental Systems USA,PL04,P100,2025-04-24,2025-04-24,54.0,1743292800000000000,USD
45000000062,00003,45000000062_00003,M100139,51,28.08,100145,Continental Systems USA,PL01,P100,2025-05-08,2025-05-25,51.0,1743292800000000000,USD
45000000063,00001,45000000063_00001,M100042,53,23.57,100118,Sterling Technologies USA,PL02,P200,2025-05-29,2025-06-13,53.0,1748044800000000000,INR
45000000063,00002,45000000063_00002,M100284,36,15.23,100118,Sterling Technologies USA,PL03,P200,2025-06-01,2025-06-17,36.0,1748044800000000000,INR
45000000064,00001,45000000064_00001,M100120,50,72.04,100025,Harbor Supplies Japan,PL01,P200,2025-03-17,,,1738368000000000000,INR
45000000064,00002,45000000064_00002,M100226,56,54.83,100025,Harbor Supplies Japan,PL04,P200,2025-02-06,2025-03-02,56.0,1738368000000000000,INR
45000000064,00003,45000000064_00003,M100251,43,24.1,100025,Harbor Supplies Japan,PL03,P200,2025-03-14,2025-04-06,43.0,1738368000000000000,INR
45000000065,00001,45000000065_00001,M100202,43,194.73,100071,Apex Automation Mexico,PL01,P200,2025-02-18,2025-03-14,43.0,1737763200000000000,USD
45000000065,00002,45000000065_00002,M100493,64,74.64,100071,Apex Automation Mexico,PL03,P200,2025-03-16,2025-04-07,64.0,1737763200000000000,USD
45000000065,00003,45000000065_00003,M100115,55,16.39,100071,Apex Automation Mexico,PL03,P200,2025-02-04,2025-02-26,55.0,1737763200000000000,USD
45000000066,00001,45000000066_00001,M100157,48,385.08,100012,Advance Services Brazil,PL02,P100,2025-05-06,2025-05-31,48.0,1744934400000000000,USD
45000000066,00002,45000000066_00002,M100432,49,100.08,100012,Advance Services Brazil,PL01,P100,2025-04-25,2025-05-05,49.0,1744934400000000000,USD
45000000066,00003,45000000066_00003,M100490,43,218.82,100012,Advance Services Brazil,PL04,P100,2025-05-03,,,1744934400000000000,USD
45000000067,00001,45000000067_00001,M100135,63,9.07,100160,Harbor Services UK,PL04,P100,2025-03-29,,,1742601600000000000,USD
45000000068,00001,45000000068_00001,M100495,55,22.42,100028,Atlas Engineering Italy,PL01,P200,2025-05-12,2025-06-09,55.0,1745971200000000000,USD
45000000068,00002,45000000068_00002,M100340,60,27.76,100028,Atlas Engineering Italy,PL03,P200,2025-06-07,2025-06-06,60.0,1745971200000000000,USD
45000000069,00001,45000000069_00001,M100123,43,107.8,100120,Harbor Parts USA,PL04,P300,2025-01-31,2025-02-17,43.0,1737676800000000000,USD
45000000069,00002,45000000069_00002,M100295,54,54.68,100120,Harbor Parts USA,PL03,P300,2025-03-10,2025-03-20,54.0,1737676800000000000,USD
45000000069,00003,45000000069_00003,M100294,50,131.27,100120,Harbor Parts USA,PL03,P300,2025-03-01,2025-03-14,50.0,1737676800000000000,USD
45000000069,00004,45000000069_00004,M100017,42,12.97,100120,Harbor Parts USA,PL03,P300,2025-03-04,2025-03-05,42.0,1737676800000000000,USD
45000000070,00001,45000000070_00001,M100279,47,42.65,100040,Keystone Machinery Sweden,PL01,P200,2025-04-24,2025-05-12,47.0,1740441600000000000,INR
45000000070,00002,45000000070_00002,M100075,49,101.85,100040,Keystone Machinery Sweden,PL01,P200,2025-03-08,2025-03-16,49.0,1740441600000000000,INR
45000000071,00001,45000000071_00001,M100128,50,34.66,100169,Unity Machinery Japan,PL03,P300,2025-05-02,2025-05-09,50.0,1741910400000000000,EUR
45000000071,00002,45000000071_00002,M100412,53,41.95,100169,Unity Machinery Japan,PL04,P300,2025-03-26,2025-04-21,53.0,1741910400000000000,EUR
45000000071,00003,45000000071_00003,M100358,51,30.28,100169,Unity Machinery Japan,PL03,P300,2025-05-05,2025-05-30,51.0,1741910400000000000,EUR
45000000072,00001,45000000072_00001,M100316,51,116.14,100029,Orion Supplies Canada,PL04,P300,2025-06-01,2025-06-19,51.0,1746057600000000000,INR
45000000073,00001,45000000073_00001,M100436,62,23.16,100065,Vertex Holdings Sweden,PL02,P200,2025-05-08,2025-05-29,62.0,1745193600000000000,EUR
45000000073,00002,45000000073_00002,M100115,56,32.42,100065,Vertex Holdings Sweden,PL01,P200,2025-06-04,2025-06-18,56.0,1745193600000000000,EUR
45000000074,00001,45000000074_00001,M100237,47,40.19,100162,Crest Automation Germany,PL02,P100,2025-05-27,2025-06-20,47.0,1744588800000000000,USD
45000000075,00001,45000000075_00001,M100028,54,43.8,100153,Pioneer Resources Japan,PL02,P100,2025-06-05,2025-06-02,54.0,1748217600000000000,USD
45000000075,00002,45000000075_00002,M100147,48,16.09,100153,Pioneer Resources Japan,PL04,P100,2025-07-02,2025-07-02,48.0,1748217600000000000,USD
45000000075,00003,45000000075_00003,M100255,52,14.09,100153,Pioneer Resources Japan,PL03,P100,2025-05-30,2025-06-02,52.0,1748217600000000000,USD
45000000075,00004,45000000075_00004,M100214,41,19.75,100153,Pioneer Resources Japan,PL03,P100,2025-07-11,2025-08-05,41.0,1748217600000000000,USD
45000000076,00001,45000000076_00001,M100015,52,31.65,100197,Everest Supplies Italy,PL02,P200,2025-04-28,,,1741996800000000000,EUR
45000000076,00002,45000000076_00002,M100388,62,58.93,100197,Everest Supplies Italy,PL04,P200,2025-04-30,2025-05-30,62.0,1741996800000000000,EUR
45000000077,00001,45000000077_00001,M100247,44,683.45,100001,Summit Industries Italy,PL04,P300,2025-06-02,2025-06-29,44.0,1747785600000000000,EUR
45000000077,00002,45000000077_00002,M100460,59,4.24,100001,Summit Industries Italy,PL04,P300,2025-06-13,2025-07-13,59.0,1747785600000000000,EUR
45000000077,00003,45000000077_00003,M100317,56,31.82,100001,Summit Industries Italy,PL04,P300,2025-06-23,2025-06-23,56.0,1747785600000000000,EUR
45000000078,00001,45000000078_00001,M100495,43,52.64,100062,Metro Solutions Mexico,PL03,P100,2025-02-18,2025-03-07,43.0,1738281600000000000,USD
45000000078,00002,45000000078_00002,M100176,47,2.22,100062,Metro Solutions Mexico,PL04,P100,2025-03-06,2025-03-22,47.0,1738281600000000000,USD
45000000078,00003,45000000078_00003,M100217,52,33.3,100062,Metro Solutions Mexico,PL02,P100,2025-02-20,2025-03-19,52.0,1738281600000000000,USD
45000000079,00001,45000000079_00001,M100248,41,34.72,100107,Keystone Systems Sweden,PL01,P200,2025-04-17,2025-04-26,41.0,1743120000000000000,INR
45000000079,00002,45000000079_00002,M100486,42,30.51,100107,Keystone Systems Sweden,PL04,P200,2025-05-17,2025-05-15,42.0,1743120000000000000,INR
45000000080,00001,45000000080_00001,M100266,51,30.97,100136,Advance Engineering India,PL03,P200,2025-07-29,2025-08-08,51.0,1748995200000000000,EUR
45000000080,00002,45000000080_00002,M100475,47,19.87,100136,Advance Engineering India,PL01,P200,2025-07-15,2025-08-02,47.0,1748995200000000000,EUR
45000000080,00003,45000000080_00003,M100300,64,24.87,100136,Advance Engineering India,PL01,P200,2025-06-09,2025-06-07,64.0,1748995200000000000,EUR
45000000080,00004,45000000080_00004,M100193,50,240.3,100136,Advance Engineering India,PL02,P200,2025-06-10,2025-06-07,50.0,1748995200000000000,EUR
45000000080,00005,45000000080_00005,M100066,56,110.53,100136,Advance Engineering India,PL02,P200,2025-07-11,2025-07-16,56.0,1748995200000000000,EUR
