EBELN,BUKRS,LIFNR,EKORG,AEDAT,NETWR,WAERS,BSTAT
45000000033,2000,100141,P100,2025-01-19,8195.07,EUR,A
45000000034,3000,100171,P200,2025-01-23,943.2,EUR,A
45000000035,3000,100004,P300,2025-01-17,10456.08,USD,A
45000000036,3000,100017,P300,2025-02-10,15930.08,EUR,B
45000000037,2000,100029,P300,2025-02-14,2157.19,INR,
45000000038,1000,100011,P100,2025-02-21,1361.25,USD,
45000000039,3000,100060,P300,2025-04-03,4426.96,USD,A
45000000040,1000,100040,P300,2025-05-22,252.45,INR,
45000000041,2000,100159,P300,2025-03-21,3752.02,EUR,A
45000000042,2000,100162,P200,2025-05-15,415.38,EUR,
45000000043,2000,100178,P300,2025-02-02,4617.06,INR,A
45000000044,3000,100125,P300,2025-04-30,6480.4,USD,
45000000045,3000,100001,P300,2025-05-22,5728.13,INR,
45000000046,3000,100158,P100,2025-04-21,18198.05,INR,B
45000000047,2000,100200,P100,2025-02-09,13956.96,INR,A
45000000048,2000,100135,P300,2025-02-27,1434.8,USD,
45000000049,1000,100129,P300,2025-03-06,5888.37,EUR,A
45000000050,3000,100135,P200,2025-02-02,5995.67,EUR,B
45000000051,3000,100095,P300,2025-01-24,7063.3,INR,B
45000000052,1000,100014,P100,2025-05-29,2793.0,EUR,B
45000000053,2000,100166,P300,2025-06-04,1828.77,INR,
45000000054,1000,100175,P300,2025-01-21,27766.78,EUR,A
45000000055,1000,100020,P300,2025-06-16,11846.3,USD,B
45000000056,1000,100048,P200,2025-06-13,1295.52,EUR,B
45000000057,3000,100166,P200,2025-03-16,3386.54,USD,
45000000058,2000,100196,P200,2025-06-25,3718.8,USD,
45000000059,1000,100066,P100,2025-06-26,1224.16,USD,A
45000000060,2000,100165,P100,2025-05-04,11384.44,USD,B
45000000061,2000,100106,P300,2025-02-06,221.85,USD,B
45000000062,2000,100145,P100,2025-03-30,8166.24,USD,B
45000000063,1000,100118,P200,2025-05-24,1797.49,INR,A
45000000064,2000,100025,P200,2025-02-01,7708.78,INR,
45000000065,1000,100071,P200,2025-01-25,14051.8,USD,B
45000000066,1000,100012,P100,2025-04-18,32797.02,USD,B
45000000067,1000,100160,P100,2025-03-22,571.41,USD,B
45000000068,2000,100028,P200,2025-04-30,2898.7,USD,
45000000069,2000,100120,P300,2025-01-24,14696.36,USD,
45000000070,3000,100040,P200,2025-02-25,6995.2,INR,
45000000071,2000,100169,P300,2025-03-14,5500.63,EUR,B
45000000072,2000,100029,P300,2025-05-01,5923.14,INR,
45000000073,1000,100065,P200,2025-04-21,3251.44,EUR,A
45000000074,2000,100162,P100,2025-04-14,1888.93,USD,
45000000075,3000,100153,P100,2025-05-26,4679.95,USD,B
45000000076,1000,100197,P200,2025-03-15,5299.46,EUR,A
45000000077,2000,100001,P300,2025-05-21,32103.88,EUR,B
45000000078,1000,100062,P100,2025-01-31,4099.46,USD,A
45000000079,3000,100107,P200,2025-03-28,2704.94,INR,
45000000080,3000,100136,P200,2025-06-04,22309.72,EUR,
45000000081,1000,100065,P100,2025-01-12,24547.36,EUR,A
45000000082,3000,100073,P200,2025-05-02,938.91,INR,B
45000000083,1000,100057,P200,2025-05-12,23529.78,EUR,A
45000000084,2000,100127,P300,2025-02-11,3339.7,EUR,A
45000000085,2000,100154,P300,2025-06-01,1451.72,EUR,B
45000000086,3000,100130,P300,2025-05-06,21221.33,USD,A
45000000087,2000,100101,P200,2025-01-05,6244.75,EUR,
45000000088,3000,100185,P200,2025-04-17,15960.06,EUR,B
45000000089,1000,100129,P300,2025-06-11,313.72,USD,A
45000000090,3000,100105,P300,2025-06-17,25997.28,INR,B
45000000091,3000,100184,P200,2025-01-14,8621.69,INR,B
45000000092,3000,100155,P300,2025-06-11,1294.94,USD,
45000000093,1000,100167,P100,2025-06-24,817.02,EUR,B
45000000094,1000,100058,P100,2025-01-29,6656.04,USD,A
45000000095,1000,100013,P200,2025-04-18,4273.8,EUR,
45000000096,3000,100025,P300,2025-04-16,4258.65,USD,B
45000000097,3000,100162,P100,2025-01-16,20224.41,EUR,
45000000098,2000,100133,P300,2025-05-24,795.76,USD,B
45000000099,2000,100147,P100,2025-04-07,78366.34,USD,B
45000000100,3000,100128,P200,2025-03-29,20101.74,EUR,B
45000000101,3000,100081,P300,2025-06-24,1390.33,USD,B
45000000102,1000,100076,P100,2025-05-04,6028.16,USD,B
45000000103,1000,100041,P200,2025-03-18,66.7,USD,B
45000000104,3000,100083,P300,2025-02-23,3120.0,USD,A
45000000105,2000,100014,P300,2025-05-03,25029.29,EUR,A
45000000106,1000,100049,P300,2025-03-15,7012.78,EUR,B
45000000107,2000,100011,P200,2025-04-08,7244.16,INR,A
45000000108,2000,100070,P300,2025-01-11,7552.8,INR,A
45000000109,3000,100024,P200,2025-04-24,2822.09,EUR,A
45000000110,1000,100052,P300,2025-02-24,2196.72,USD,B
45000000111,2000,100086,P100,2025-06-28,1366.68,INR,B
45000000112,1000,100088,P100,2025-05-31,1179.93,INR,B
45000000113,1000,100039,P300,2025-05-16,9645.99,INR,
45000000114,2000,100071,P200,2025-01-26,7989.22,EUR,A
45000000115,3000,100041,P100,2025-01-26,3177.32,INR,B
45000000116,2000,100006,P300,2025-02-10,2530.87,USD,A
45000000117,1000,100132,P200,2025-06-16,10093.23,USD,A
45000000118,1000,100013,P100,2025-06-15,12394.91,EUR,B
45000000119,3000,100129,P300,2025-03-01,11119.32,EUR,
45000000120,2000,100041,P100,2025-02-14,3037.9,INR,A
45000000121,1000,100199,P300,2025-05-07,1547.9,USD,
45000000122,2000,100065,P300,2025-01-03,1902.39,EUR,
45000000123,2000,100151,P200,2025-03-27,9373.84,EUR,B
45000000124,2000,100018,P100,2025-05-15,7346.51,EUR,A
45000000125,1000,100164,P100,2025-03-11,4531.52,USD,
45000000126,3000,100037,P200,2025-04-28,6783.23,EUR,
45000000127,3000,100089,P200,2025-01-04,3383.0,USD,B
45000000128,1000,100082,P100,2025-06-22,8697.1,EUR,B
45000000129,2000,100079,P300,2025-04-14,6693.81,USD,
45000000130,3000,100006,P100,2025-04-13,6114.48,INR,
45000000131,2000,100032,P100,2025-05-03,5276.16,INR,A
45000000132,1000,100165,P200,2025-04-09,43344.98,USD,A
45000000133,3000,100200,P300,2025-03-19,881.79,EUR,
45000000134,3000,100009,P200,2025-03-08,5557.17,EUR,
45000000135,3000,100011,P100,2025-01-16,3273.18,USD,A
45000000136,2000,100172,P300,2025-02-10,5277.64,EUR,B
45000000137,3000,100022,P100,2025-03-21,13591.06,EUR,A
45000000138,3000,100199,P100,2025-04-05,4112.87,INR,
45000000139,1000,100088,P200,2025-05-03,3917.14,EUR,B
45000000140,2000,100160,P300,2025-04-06,9209.03,EUR,A
45000000141,3000,100096,P100,2025-05-18,740.16,INR,B
45000000142,1000,100111,P300,2025-06-02,2290.66,USD,B
45000000143,2000,100086,P100,2025-06-30,6110.31,EUR,
45000000144,3000,100042,P300,2025-01-16,2327.55,INR,B
45000000145,1000,100021,P100,2025-05-18,2512.32,USD,B
45000000146,1000,100103,P300,2025-04-24,1408.4,INR,B
45000000147,2000,100091,P100,2025-05-30,4326.91,EUR,A
45000000148,2000,100096,P100,2025-01-15,4679.17,EUR,A
45000000149,3000,100017,P100,2025-04-27,7842.74,EUR,A
45000000150,2000,100090,P300,2025-06-22,11726.79,INR,A
45000000151,1000,100101,P300,2025-03-07,1195.0,INR,B
45000000152,1000,100089,P200,2025-01-19,5273.7,USD,B
45000000153,3000,100038,P100,2025-01-17,1897.52,INR,A
45000000154,2000,100046,P200,2025-01-09,3339.8,INR,
45000000155,3000,100014,P300,2025-06-14,10487.8,USD,A
45000000156,2000,100136,P200,2025-04-08,9216.95,USD,
45000000157,3000,100167,P300,2025-06-24,3063.42,INR,B
45000000158,1000,100059,P100,2025-03-31,1233.72,EUR,A
45000000159,1000,100157,P300,2025-05-16,11529.26,INR,
45000000160,2000,100166,P200,2025-01-06,3227.1,EUR,B
45000000161,2000,100050,P300,2025-05-20,1660.22,USD,
45000000162,2000,100101,P200,2025-03-05,1905.16,INR,A
45000000163,3000,100046,P100,2025-02-18,1452.1,INR,B
45000000164,3000,100052,P100,2025-04-18,13824.18,INR,
45000000165,1000,100127,P300,2025-01-18,1937.66,INR,A
45000000166,3000,100072,P300,2025-06-03,1312.85,INR,
45000000167,2000,100179,P200,2025-01-12,7214.79,INR,B
45000000168,1000,100123,P100,2025-02-25,2335.74,EUR,A
45000000169,3000,100126,P300,2025-03-01,1677.5,USD,B
45000000170,3000,100117,P200,2025-06-03,30739.39,INR,A
45000000171,3000,100192,P300,2025-02-06,16732.33,INR,A
45000000172,2000,100158,P100,2025-03-18,3365.53,EUR,B
45000000173,3000,100166,P300,2025-02-14,333.5,USD,B
45000000174,1000,100041,P200,2025-05-07,16022.79,EUR,B
45000000175,3000,100096,P200,2025-04-08,925.36,EUR,A
45000000176,1000,100135,P200,2025-04-15,10822.6,USD,
45000000177,2000,100077,P100,2025-05-18,2898.17,INR,A
45000000178,2000,100170,P100,2025-02-06,4247.6,EUR,A
45000000179,3000,100073,P300,2025-04-17,215.28,INR,A
45000000180,2000,100052,P100,2025-03-04,2555.88,USD,B
45000000181,2000,100177,P200,2025-01-21,600.75,INR,B
45000000182,1000,100067,P200,2025-02-18,2183.44,USD,B
45000000183,3000,100109,P100,2025-06-04,9533.95,INR,
45000000184,3000,100008,P300,2025-05-31,6924.82,EUR,
45000000185,1000,100089,P200,2025-05-03,4615.94,USD,
45000000186,1000,100046,P300,2025-02-24,213.48,INR,B
45000000187,1000,100124,P300,2025-05-03,6767.36,EUR,B
45000000188,2000,100173,P100,2025-02-22,2938.26,EUR,A
45000000189,2000,100161,P200,2025-03-14,25046.15,EUR,B
45000000190,2000,100131,P200,2025-04-02,5578.02,USD,B
45000000191,2000,100057,P100,2025-05-08,38373.48,EUR,A
45000000192,1000,100092,P200,2025-03-23,4011.9,USD,A
45000000193,3000,100060,P100,2025-01-12,14940.61,EUR,
45000000194,2000,100061,P300,2025-01-05,3955.68,EUR,B
45000000195,2000,100121,P100,2025-04-17,12978.82,INR,A
45000000196,2000,100015,P300,2025-02-28,4335.63,INR,A
45000000197,3000,100079,P300,2025-05-21,2388.04,USD,A
45000000198,3000,100030,P300,2025-05-06,2832.36,EUR,A
45000000199,1000,100049,P300,2025-04-28,4386.48,USD,
45000000200,3000,100198,P300,2025-02-05,1523.5,USD,
45000000201,3000,100198,P100,2025-05-19,1629.22,EUR,
45000000202,3000,100074,P100,2025-01-20,4054.19,INR,A
45000000203,3000,100066,P100,2025-02-05,3001.86,INR,B
45000000204,1000,100022,P100,2025-02-08,648.44,EUR,A
45000000205,1000,100118,P300,2025-04-06,7395.22,EUR,B
45000000206,2000,100020,P300,2025-06-07,763.68,USD,
45000000207,3000,100059,P300,2025-01-02,515.6,USD,
45000000208,3000,100181,P300,2025-01-05,524.9,USD,B
45000000209,1000,100090,P300,2025-03-15,197.1,EUR,B
45000000210,1000,100022,P100,2025-04-21,1246.56,INR,B
45000000211,1000,100162,P100,2025-02-08,7948.08,EUR,B
45000000212,2000,100067,P200,2025-03-06,1260.4,USD,
45000000213,2000,100022,P200,2025-04-06,10078.77,EUR,
45000000214,1000,100070,P200,2025-06-28,19491.65,EUR,
45000000215,3000,100127,P100,2025-06-17,47183.16,INR,A
45000000216,2000,100099,P300,2025-04-08,167.79,USD,
45000000217,1000,100165,P300,2025-06-13,3019.89,INR,
45000000218,2000,100050,P300,2025-05-08,10144.29,USD,B
45000000219,3000,100164,P100,2025-01-25,12647.76,INR,
45000000220,3000,100145,P200,2025-06-27,4198.28,USD,
45000000221,3000,100040,P200,2025-01-20,6234.22,EUR,B
45000000222,1000,100125,P100,2025-06-18,11744.12,USD,
45000000223,3000,100069,P100,2025-02-23,3595.56,EUR,A
45000000224,2000,100033,P100,2025-01-20,8521.52,EUR,
45000000225,2000,100105,P300,2025-05-26,5982.9,EUR,A
45000000226,3000,100041,P100,2025-04-09,7144.26,EUR,B
45000000227,3000,100133,P300,2025-01-21,24419.07,USD,
45000000228,2000,100031,P100,2025-01-26,24331.69,INR,A
45000000229,3000,100022,P300,2025-06-04,3101.35,USD,A
45000000230,3000,100031,P200,2025-01-08,736.44,USD,A
45000000231,2000,100008,P300,2025-02-28,4083.94,USD,A
45000000232,3000,100027,P300,2025-02-17,6080.22,EUR,A
45000000233,3000,100188,P200,2025-01-22,9547.62,INR,B
45000000234,1000,100035,P200,2025-01-19,690.0,INR,A
45000000235,1000,100183,P300,2025-06-12,30592.72,USD,A
45000000236,1000,100010,P100,2025-04-03,601.8,INR,A
45000000237,2000,100051,P200,2025-04-24,1566.6,INR,
45000000238,1000,100077,P200,2025-01-23,276.0,USD,B
45000000239,3000,100166,P200,2025-05-23,4863.14,INR,
45000000240,2000,100192,P300,2025-01-23,6022.92,INR,B
45000000241,2000,100157,P200,2025-06-03,1117.92,INR,A
45000000242,2000,100057,P100,2025-04-16,17727.38,EUR,B
45000000243,3000,100028,P300,2025-03-04,3952.21,INR,B
45000000244,1000,100055,P100,2025-04-08,6492.3,USD,A
45000000245,2000,100093,P100,2025-03-10,15352.98,INR,
45000000246,2000,100042,P200,2025-04-22,2544.87,USD,A
45000000247,2000,100087,P200,2025-01-20,415.6,INR,B
45000000248,2000,100019,P300,2025-06-10,2295.8,EUR,
45000000249,1000,100171,P100,2025-04-28,2795.94,USD,
45000000250,2000,100158,P300,2025-04-12,6936.89,USD,A
45000000251,2000,100084,P200,2025-04-23,7359.22,EUR,B
45000000252,2000,100044,P200,2025-02-04,15662.29,EUR,B
45000000253,2000,100075,P200,2025-02-21,9983.17,INR,A
45000000254,2000,100034,P300,2025-03-23,35104.21,EUR,B
45000000255,3000,100077,P100,2025-05-06,7463.93,USD,A
45000000256,2000,100120,P200,2025-03-13,21496.96,INR,B
45000000257,3000,100143,P300,2025-02-21,3871.84,INR,B
45000000258,1000,100140,P300,2025-05-21,5672.52,USD,B
45000000259,2000,100093,P200,2025-02-23,2802.32,EUR,
45000000260,3000,100059,P200,2025-04-15,16452.8,INR,B
45000000261,1000,100056,P200,2025-03-19,1004.99,EUR,
45000000262,2000,100091,P100,2025-04-19,7739.72,USD,B
45000000263,3000,100117,P200,2025-05-03,4874.82,EUR,B
45000000264,2000,100020,P300,2025-06-27,5214.28,INR,A
45000000265,3000,100175,P300,2025-06-29,4223.71,EUR,
45000000266,1000,100062,P300,2025-01-28,23656.0,EUR,A
45000000267,3000,100165,P300,2025-02-12,4534.07,INR,B
45000000268,3000,100037,P300,2025-06-15,1991.0,USD,A
45000000269,1000,100099,P100,2025-04-21,15401.69,INR,A
45000000270,3000,100127,P300,2025-02-26,205.4,EUR,B
45000000271,3000,100076,P300,2025-05-29,3072.66,INR,A
45000000272,2000,100118,P200,2025-04-06,3805.18,EUR,B
45000000273,3000,100023,P100,2025-06-26,2492.69,USD,
45000000274,1000,100090,P200,2025-05-04,2482.5,USD,
45000000275,3000,100165,P100,2025-01-30,2384.78,USD,A
45000000276,2000,100007,P100,2025-03-29,1374.08,EUR,A
45000000277,2000,100190,P100,2025-03-31,7073.04,USD,B
45000000278,2000,100085,P200,2025-06-28,7134.12,INR,A
45000000279,3000,100091,P100,2025-01-12,6043.8,INR,A
45000000280,1000,100176,P300,2025-06-15,8199.66,INR,B
45000000281,3000,100028,P100,2025-03-04,20902.78,EUR,
45000000282,3000,100033,P200,2025-03-26,13827.39,USD,
45000000283,3000,100118,P100,2025-04-14,2898.72,INR,B
45000000284,2000,100195,P200,2025-06-18,4753.39,INR,B
45000000285,1000,100102,P200,2025-06-07,1051.08,EUR,A
45000000286,1000,100019,P300,2025-04-10,15394.85,INR,
45000000287,3000,100036,P100,2025-03-13,8756.48,EUR,
45000000288,1000,100003,P200,2025-05-18,1497.96,USD,
45000000289,1000,100006,P200,2025-04-28,24854.0,EUR,A
45000000290,3000,100094,P200,2025-05-16,13594.46,EUR,A
45000000291,2000,100115,P300,2025-06-06,23106.4,INR,A
45000000292,2000,100172,P300,2025-04-01,1875.15,INR,B
45000000293,2000,100066,P300,2025-06-30,574.08,EUR,
45000000294,1000,100071,P200,2025-06-22,10225.77,INR,
45000000295,1000,100093,P100,2025-03-20,18447.29,USD,B
45000000296,3000,100070,P200,2025-02-06,6702.32,USD,B
45000000297,3000,100039,P200,2025-02-05,469.91,USD,
45000000298,3000,100081,P300,2025-05-05,5400.9,EUR,B
45000000299,3000,100172,P100,2025-02-14,22923.8,USD,A
45000000300,1000,100107,P200,2025-02-05,18948.3,USD,B
45000000301,2000,100005,P100,2025-01-14,3711.24,USD,
45000000302,2000,100084,P300,2025-02-19,5278.96,EUR,B
45000000303,2000,100199,P300,2025-05-07,3643.5,USD,A
45000000304,2000,100195,P100,2025-04-24,244.29,INR,B
45000000305,1000,100184,P200,2025-01-08,4711.2,INR,A
45000000306,3000,100047,P200,2025-02-27,1887.55,INR,A
45000000307,3000,100088,P200,2025-05-25,1813.77,EUR,B
45000000308,3000,100081,P100,2025-01-29,2621.85,USD,B
45000000309,3000,100162,P100,2025-04-04,2078.74,EUR,A
45000000310,1000,100028,P200,2025-05-20,9208.75,INR,B
45000000311,1000,100022,P200,2025-06-17,2560.1,INR,A
45000000312,2000,100156,P100,2025-03-09,2716.48,USD,
45000000313,1000,100075,P300,2025-03-02,2295.5,EUR,B
45000000314,3000,100177,P300,2025-03-31,4764.72,EUR,A
45000000315,3000,100130,P100,2025-02-12,2716.74,INR,
45000000316,3000,100042,P200,2025-01-16,9755.9,EUR,A
45000000317,3000,100063,P100,2025-06-02,1385.52,USD,B
45000000318,2000,100018,P300,2025-03-16,6440.52,USD,B
45000000319,1000,100077,P100,2025-06-23,1182.86,USD,
45000000320,3000,100020,P100,2025-03-12,7824.46,EUR,
45000000321,1000,100053,P300,2025-03-05,35616.25,USD,
45000000322,2000,100184,P200,2025-06-23,9346.89,INR,B
45000000323,2000,100168,P300,2025-06-11,9782.89,USD,A
45000000324,1000,100126,P300,2025-04-26,5870.37,INR,A
45000000325,3000,100151,P200,2025-05-12,2879.12,EUR,A
45000000326,2000,100145,P200,2025-04-27,6152.76,EUR,
45000000327,3000,100049,P200,2025-01-24,5166.27,EUR,B
45000000328,2000,100123,P100,2025-06-28,2705.85,EUR,A
45000000329,2000,100158,P100,2025-02-25,476.0,USD,A
45000000330,2000,100068,P200,2025-03-24,2830.4,EUR,B
45000000331,3000,100024,P200,2025-02-03,14057.7,USD,B
45000000332,1000,100112,P100,2025-01-13,462.16,EUR,A
45000000333,1000,100110,P100,2025-01-05,3905.14,USD,A
45000000334,2000,100091,P100,2025-01-01,1976.87,EUR,
45000000335,2000,100198,P100,2025-06-16,1905.11,USD,
45000000336,2000,100080,P200,2025-06-17,437.76,INR,A
45000000337,3000,100127,P100,2025-06-20,10656.26,INR,A
45000000338,2000,100187,P300,2025-06-10,4143.68,EUR,
45000000339,3000,100154,P100,2025-04-20,7007.66,EUR,
45000000340,1000,100092,P200,2025-01-01,11979.0,INR,
45000000341,1000,100064,P300,2025-06-01,1044.9,EUR,A
45000000342,1000,100141,P300,2025-01-03,2636.52,USD,
45000000343,3000,100079,P100,2025-04-19,3688.11,USD,
45000000344,2000,100143,P100,2025-02-28,600.62,EUR,
45000000345,2000,100139,P200,2025-01-27,2271.84,USD,
45000000346,1000,100041,P300,2025-04-08,8152.06,EUR,
45000000347,3000,100152,P300,2025-01-18,5786.5,INR,B
45000000348,1000,100181,P200,2025-06-16,884.16,USD,B
45000000349,3000,100128,P300,2025-02-24,2767.42,INR,A
45000000350,3000,100008,P200,2025-06-07,7120.86,INR,
45000000351,1000,100142,P100,2025-01-26,427.14,EUR,B
45000000352,2000,100195,P200,2025-04-09,16236.21,USD,
45000000353,2000,100171,P300,2025-03-05,3729.95,INR,
45000000354,3000,100031,P300,2025-05-22,1439.9,EUR,B
45000000355,3000,100025,P100,2025-03-14,3574.89,EUR,A
45000000356,3000,100052,P300,2025-02-22,10322.24,EUR,
45000000357,2000,100089,P300,2025-04-11,1160.91,INR,
45000000358,2000,100016,P100,2025-05-07,608.0,INR,A
45000000359,3000,100004,P100,2025-06-13,8596.05,EUR,
45000000360,2000,100050,P100,2025-04-03,1609.6,USD,B
45000000361,2000,100008,P300,2025-04-18,2126.06,EUR,
45000000362,1000,100067,P100,2025-05-01,135.73,EUR,
45000000363,2000,100141,P100,2025-01-04,19928.36,INR,
45000000364,3000,100108,P200,2025-04-12,10954.44,EUR,B
45000000365,2000,100085,P200,2025-05-09,1841.1,EUR,A
45000000366,3000,100077,P300,2025-01-22,41050.36,EUR,B
45000000367,2000,100185,P100,2025-02-09,10434.6,USD,
45000000368,1000,100012,P100,2025-05-11,16103.75,EUR,A
45000000369,3000,100110,P300,2025-04-11,4388.58,EUR,B
45000000370,1000,100156,P200,2025-06-14,3420.56,EUR,A
45000000371,1000,100158,P100,2025-03-03,9780.65,INR,A
45000000372,2000,100157,P300,2025-01-30,515.84,EUR,
45000000373,3000,100156,P300,2025-03-21,19160.47,EUR,B
45000000374,1000,100127,P100,2025-02-14,1284.75,EUR,
45000000375,1000,100097,P100,2025-06-29,4319.54,USD,A
45000000376,3000,100021,P300,2025-05-14,5823.36,USD,
45000000377,1000,100031,P300,2025-04-06,7872.81,USD,B
45000000378,1000,100076,P200,2025-01-31,12902.14,USD,A
45000000379,1000,100066,P200,2025-05-15,2870.41,EUR,B
45000000380,1000,100130,P200,2025-06-10,2873.28,USD,B
45000000381,1000,100060,P200,2025-04-03,3256.63,EUR,
45000000382,1000,100050,P200,2025-04-05,9155.82,INR,B
45000000383,3000,100118,P100,2025-06-22,5597.93,INR,B
45000000384,1000,100050,P100,2025-05-11,1548.76,INR,
45000000385,2000,100149,P200,2025-01-12,5349.89,USD,
45000000386,1000,100046,P300,2025-02-15,6477.8,EUR,B
45000000387,2000,100177,P100,2025-06-17,3350.63,USD,
45000000388,3000,100130,P200,2025-04-17,4808.74,USD,
45000000389,2000,100067,P100,2025-05-27,4378.04,EUR,B
45000000390,1000,100051,P100,2025-01-14,910.98,EUR,
45000000391,1000,100123,P200,2025-04-13,7885.72,USD,A
45000000392,1000,100034,P300,2025-03-25,3119.58,USD,
45000000393,1000,100003,P200,2025-04-05,30909.95,EUR,A
45000000394,1000,100189,P200,2025-06-09,14811.99,USD,B
45000000395,1000,100005,P300,2025-05-07,3937.62,EUR,
45000000396,1000,100030,P200,2025-02-08,4972.76,INR,
45000000397,2000,100098,P300,2025-05-19,264.4,EUR,
45000000398,1000,100099,P300,2025-03-27,19555.45,USD,B
45000000399,1000,100102,P100,2025-03-20,25132.82,EUR,
45000000400,2000,100080,P100,2025-04-18,3542.85,INR,B
45000000401,1000,100069,P100,2025-03-13,291.5,INR,B
45000000402,3000,100145,P200,2025-04-16,4172.24,USD,B
45000000403,3000,100080,P100,2025-01-22,7784.81,EUR,
45000000404,2000,100188,P100,2025-06-13,5445.21,EUR,B
45000000405,2000,100076,P300,2025-01-16,241.2,INR,
45000000406,2000,100086,P200,2025-03-16,4204.71,USD,B
45000000407,2000,100049,P200,2025-03-25,14614.76,USD,
45000000408,1000,100047,P100,2025-01-20,31043.03,EUR,
45000000409,1000,100049,P100,2025-02-09,25712.44,USD,A
45000000410,2000,100068,P100,2025-03-22,17293.98,EUR,A
45000000411,2000,100082,P200,2025-02-23,6080.86,USD,A
45000000412,1000,100144,P100,2025-01-31,2404.43,EUR,A
45000000413,3000,100058,P300,2025-06-30,474.26,INR,
45000000414,1000,100197,P100,2025-03-25,21420.54,EUR,
45000000415,2000,100180,P300,2025-04-02,393.85,INR,B
45000000416,2000,100200,P100,2025-03-18,5819.61,INR,A
45000000417,3000,100030,P300,2025-04-26,2457.61,EUR,
45000000418,2000,100040,P100,2025-01-25,3741.87,INR,
45000000419,1000,100053,P100,2025-01-04,16.32,INR,
45000000420,2000,100194,P300,2025-04-13,17330.56,EUR,B
45000000421,3000,100166,P300,2025-01-22,32428.98,USD,
45000000422,1000,100117,P100,2025-01-06,1942.04,EUR,A
45000000423,1000,100177,P200,2025-02-02,5175.38,INR,
45000000424,1000,100014,P100,2025-04-29,475.52,EUR,A
45000000425,2000,100047,P100,2025-04-12,1655.09,USD,B
45000000426,1000,100058,P200,2025-04-20,5900.6,INR,
45000000427,2000,100131,P200,2025-03-12,1634.84,INR,
45000000428,3000,100128,P300,2025-06-07,3136.86,INR,B
45000000429,2000,100119,P200,2025-03-17,4784.73,EUR,A
45000000430,1000,100125,P200,2025-01-16,2123.78,USD,
45000000431,1000,100140,P300,2025-04-18,5835.56,EUR,
45000000432,3000,100005,P100,2025-06-11,2797.0,USD,B
45000000433,2000,100159,P300,2025-04-02,8964.15,USD,A
45000000434,3000,100074,P200,2025-05-25,15052.65,USD,A
45000000435,1000,100199,P200,2025-02-16,3745.14,EUR,
45000000436,2000,100182,P100,2025-01-08,1125.3,USD,B
45000000437,3000,100199,P100,2025-04-02,3026.0,INR,
45000000438,3000,100107,P100,2025-03-05,292.88,USD,B
45000000439,1000,100094,P300,2025-01-15,7269.72,USD,A
45000000440,1000,100078,P100,2025-02-14,91952.48,EUR,A
45000000441,2000,100100,P300,2025-06-28,5623.97,INR,B
45000000442,2000,100198,P300,2025-06-29,14068.37,EUR,
45000000443,1000,100031,P200,2025-05-25,1208.0,EUR,A
45000000444,2000,100093,P100,2025-02-14,12478.4,INR,
45000000445,3000,100107,P100,2025-03-01,6978.0,INR,B
45000000446,1000,100007,P200,2025-05-03,1958.98,EUR,
45000000447,2000,100154,P300,2025-02-03,2952.84,INR,A
45000000448,1000,100078,P100,2025-01-16,17004.61,EUR,B
45000000449,1000,100035,P300,2025-02-06,1141.72,USD,
45000000450,3000,100014,P300,2025-04-06,6223.65,USD,B
